Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2511.13,0.00,23887.16,,,,,,760.62,,5426.65,6193.16,7472.76,2225.93
Active Decode Throughput Per User (tokens/sec/user),346.69,0.00,3092.67,,,,,,113.01,,717.55,840.06,1013.22,288.80
Active Prefill Throughput (tokens/sec),928.04,210.00,3344.19,,,,,,864.41,,1493.95,1658.37,3344.19,443.90
Active Prefill Throughput Per User (tokens/sec/user),734.62,210.00,1833.78,,,,,,643.77,,1226.16,1366.30,1675.69,320.83
Active Total Throughput (tokens/sec),3089.27,385.74,4822.17,,,,,,3056.47,,3709.31,3850.56,4365.16,565.37
Credit-to-Start Latency (ms),0.83,0.61,1.44,133.36,0.63,0.65,0.68,0.74,0.81,0.92,1.00,1.05,1.28,0.14
Decode Duration (ms),706.72,314.50,1206.57,113074.76,316.99,409.96,480.56,555.80,670.68,839.96,994.10,1075.21,1186.49,200.99
E2E Output Token Throughput (tokens/sec/user),342.90,196.92,658.79,54864.58,200.91,220.00,233.39,276.23,333.34,394.77,457.49,532.47,583.39,90.65
Effective Concurrency,7.80,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.02
Effective Decode Concurrency,6.91,0.00,8.00,,,,,,7.00,,8.00,8.00,8.00,1.27
Effective Decode Throughput (tokens/sec),2492.88,0.00,23887.16,,,,,,760.52,,5415.54,6190.98,7472.76,2228.06
Effective Decode Throughput Per User (tokens/sec/user),344.17,0.00,3092.67,,,,,,113.01,,713.21,838.45,1013.22,289.25
Effective Latency (CO-aware) (ms),798.45,389.34,1300.89,127752.50,439.82,481.70,560.37,649.34,768.90,927.67,1097.60,1164.32,1275.07,203.31
Effective Prefill Concurrency,0.89,0.00,8.00,,,,,,1.00,,2.00,2.00,3.00,0.97
Effective Prefill Throughput (tokens/sec),595.92,0.00,3344.19,,,,,,593.15,,1288.40,1542.75,1833.78,569.60
Effective Prefill Throughput Per User (tokens/sec/user),471.72,0.00,1833.78,,,,,,491.33,,1086.21,1257.57,1542.75,436.02
Effective Total Throughput (tokens/sec),3088.80,0.00,4822.17,,,,,,3056.47,,3709.31,3850.56,4365.16,566.61
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,49.34,26.00,81.00,7895.00,27.59,31.00,33.00,40.00,46.00,60.00,70.10,73.05,77.82,13.46
HTTP Chunks Sent,1.00,1.00,1.00,160.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,160.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),12.51,7.08,19.84,2001.29,7.54,8.23,8.79,10.27,11.76,14.97,17.37,18.07,19.15,3.13
HTTP Data Sent (KB),0.33,0.18,0.70,53.20,0.19,0.21,0.22,0.25,0.31,0.39,0.46,0.52,0.60,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),797.55,388.52,1299.96,127607.93,438.75,480.72,559.51,648.41,767.90,926.68,1096.83,1163.61,1274.13,203.30
HTTP Receiving (ms),706.72,314.51,1206.59,113075.97,317.00,409.96,480.56,555.81,670.69,839.96,994.11,1075.22,1186.50,200.99
HTTP Sending (ms),0.15,0.11,0.22,24.61,0.12,0.12,0.13,0.14,0.15,0.17,0.18,0.19,0.20,0.02
HTTP Total Time (ms),797.55,388.52,1299.96,127607.93,438.75,480.72,559.51,648.41,767.90,926.68,1096.83,1163.61,1274.13,203.30
HTTP Waiting (TTFB) (ms),90.67,67.59,181.25,14507.35,67.79,69.14,69.85,71.42,75.36,120.20,125.94,128.15,175.74,27.07
Input Sequence Length (tokens),60.96,24.00,133.00,9753.00,27.59,30.00,35.00,44.00,56.50,74.25,93.00,103.00,125.82,22.99
Inter Chunk Latency (ms),14.62,2.02,97.48,113074.76,5.35,5.91,6.11,7.89,9.03,9.41,56.20,58.37,61.99,16.74
Inter Token Latency (ms),2.77,1.23,4.73,443.44,1.24,1.61,1.88,2.18,2.63,3.29,3.90,4.22,4.65,0.79
Output Sequence Length (tokens),255.99,255.00,257.00,40959.00,255.59,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.14
Output Token Throughput Per User (tokens/sec/user),392.55,211.34,810.82,62808.09,214.93,237.16,256.52,303.60,380.22,458.80,530.67,622.03,804.45,119.48
Prefill Throughput Per User (tokens/sec/user),719.95,209.99,1833.78,115192.80,227.72,267.34,372.06,481.65,658.96,919.13,1171.98,1321.87,1597.26,324.02
Reasoning Token Count (tokens),255.99,255.00,257.00,40959.00,255.59,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.14
Request Latency (ms),797.62,388.59,1300.01,127619.14,438.82,480.78,559.58,648.48,767.99,926.75,1096.90,1163.66,1274.20,203.30
Time to First Token (ms),90.90,67.83,181.52,14544.37,68.01,69.38,70.06,71.63,75.59,120.39,126.12,128.42,175.97,27.08
Time to Second Token (ms),7.82,2.03,64.24,1250.91,2.99,5.48,5.58,5.82,6.06,6.32,7.01,9.24,58.94,9.26
Tokens In Flight (tokens),1366.43,0.00,2136.87,,,,,,1400.54,,1675.76,1734.29,1876.76,280.24

Metric,Value
Benchmark Duration (sec),16.36
Input Token Throughput (tokens/sec),595.92
Output Token Throughput (tokens/sec),2502.66
Request Count,160.00
Request Throughput (requests/sec),9.78
Total Input Sequence Length (tokens),9753.00
Total Output Sequence Length (tokens),40959.00
Total Reasoning Tokens (tokens),40959.00
Total Token Throughput (tokens/sec),3098.58


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
