Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),813.46,0.00,3179.16,,,,,,799.10,,1091.87,1208.79,1375.97,219.25
Active Decode Throughput Per User (tokens/sec/user),813.46,0.00,3179.16,,,,,,799.10,,1091.87,1208.79,1375.97,219.25
Active Prefill Throughput (tokens/sec),1417.27,587.16,2729.93,,,,,,1345.35,,2115.46,2289.01,2729.93,468.44
Active Prefill Throughput Per User (tokens/sec/user),1417.27,587.16,2729.93,,,,,,1345.35,,2115.46,2289.01,2729.93,468.44
Active Total Throughput (tokens/sec),884.91,449.01,2729.93,,,,,,831.82,,1248.27,1488.10,2151.87,322.55
Credit-to-Start Latency (ms),0.70,0.43,1.18,69.74,0.44,0.52,0.55,0.62,0.70,0.76,0.84,0.88,1.02,0.12
Decode Duration (ms),313.48,163.87,567.91,31347.61,188.51,199.08,217.23,258.24,299.77,356.73,429.84,499.73,528.04,84.04
E2E Output Token Throughput (tokens/sec/user),758.36,417.64,1238.91,75836.43,449.71,470.85,539.50,641.98,748.54,854.11,987.20,1062.54,1120.35,168.08
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Concurrency,0.88,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.33
Effective Decode Throughput (tokens/sec),714.60,0.00,3179.16,,,,,,759.88,,1052.91,1194.50,1365.21,335.97
Effective Decode Throughput Per User (tokens/sec/user),714.60,0.00,3179.16,,,,,,759.88,,1052.91,1194.50,1365.21,335.97
Effective Latency (CO-aware) (ms),356.25,207.39,613.58,35624.73,229.07,241.57,260.07,300.36,342.66,399.06,475.24,542.96,569.87,84.48
Effective Prefill Concurrency,0.12,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.32
Effective Prefill Throughput (tokens/sec),167.10,0.00,2729.93,,,,,,0.00,,935.62,1451.56,2151.87,484.54
Effective Prefill Throughput Per User (tokens/sec/user),167.10,0.00,2729.93,,,,,,0.00,,935.62,1451.56,2151.87,484.54
Effective Total Throughput (tokens/sec),881.70,0.00,2729.93,,,,,,831.67,,1248.27,1488.10,2151.87,326.33
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,46.87,25.00,82.00,4687.00,28.96,30.00,33.00,39.00,45.00,53.00,64.10,73.05,78.04,12.09
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),11.92,6.97,20.07,1191.98,7.76,8.07,8.67,10.04,11.50,13.36,15.96,17.90,19.21,2.81
HTTP Data Sent (KB),0.33,0.18,0.63,32.64,0.20,0.22,0.23,0.25,0.31,0.39,0.46,0.49,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),355.50,206.58,612.92,35549.60,228.47,240.88,259.25,299.67,341.94,398.32,474.49,542.12,569.23,84.49
HTTP Receiving (ms),313.48,163.88,567.92,31348.17,188.52,199.08,217.24,258.24,299.77,356.74,429.84,499.74,528.05,84.04
HTTP Sending (ms),0.12,0.08,0.19,11.89,0.09,0.09,0.10,0.11,0.12,0.13,0.14,0.16,0.17,0.02
HTTP Total Time (ms),355.50,206.58,612.92,35549.60,228.47,240.88,259.25,299.67,341.94,398.32,474.49,542.12,569.23,84.49
HTTP Waiting (TTFB) (ms),41.90,38.46,58.77,4189.54,38.82,39.81,40.54,40.86,41.45,42.16,43.58,44.38,52.29,2.33
Input Sequence Length (tokens),59.63,24.00,127.00,5963.00,28.95,31.95,36.90,44.00,54.50,70.00,88.50,95.05,123.04,21.34
Inter Chunk Latency (ms),6.83,3.17,13.49,31347.61,6.01,6.52,6.58,6.66,6.77,6.96,7.16,7.29,8.06,0.44
Inter Token Latency (ms),1.23,0.64,2.23,122.93,0.74,0.78,0.85,1.01,1.18,1.40,1.69,1.97,2.07,0.33
Output Sequence Length (tokens),256.00,255.00,257.00,25600.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,257.00,0.20
Output Token Throughput Per User (tokens/sec/user),869.28,449.01,1556.10,86927.51,482.94,508.45,593.32,714.14,850.66,987.47,1173.85,1280.92,1352.96,219.50
Prefill Throughput Per User (tokens/sec/user),1409.53,587.16,2729.94,140952.89,666.05,749.16,892.56,1064.80,1332.76,1685.35,2109.45,2274.35,2349.89,465.25
Reasoning Token Count (tokens),256.00,255.00,257.00,25600.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,257.00,0.20
Request Latency (ms),355.55,206.63,612.97,35554.99,228.52,240.94,259.32,299.73,342.00,398.38,474.54,542.18,569.29,84.49
Time to First Token (ms),42.07,38.61,59.02,4207.39,38.96,39.98,40.72,41.02,41.67,42.34,43.76,44.53,52.49,2.34
Time to Second Token (ms),6.44,3.61,8.18,643.63,3.72,5.97,6.10,6.28,6.50,6.64,6.79,6.90,7.32,0.51
Tokens In Flight (tokens),171.85,0.00,383.00,,,,,,170.39,,285.77,303.69,334.60,83.75

Metric,Value
Benchmark Duration (sec),35.68
Input Token Throughput (tokens/sec),167.10
Output Token Throughput (tokens/sec),717.40
Request Count,100.00
Request Throughput (requests/sec),2.80
Total Input Sequence Length (tokens),5963.00
Total Output Sequence Length (tokens),25600.00
Total Reasoning Tokens (tokens),25600.00
Total Token Throughput (tokens/sec),884.50
