Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),722.28,0.00,1896.59,,,,,,728.42,,915.13,936.26,972.51,162.53
Active Decode Throughput Per User (tokens/sec/user),722.28,0.00,1896.59,,,,,,728.42,,915.13,936.26,972.51,162.53
Active Prefill Throughput (tokens/sec),566.24,114.73,2539.29,,,,,,114.73,,1484.28,1540.40,2539.29,607.12
Active Prefill Throughput Per User (tokens/sec/user),566.24,114.73,2539.29,,,,,,114.73,,1484.28,1540.40,2539.29,607.12
Active Total Throughput (tokens/sec),684.43,114.73,2539.29,,,,,,705.35,,923.67,982.52,1540.40,334.56
Credit-to-Start Latency (ms),0.84,0.73,1.11,8.41,0.73,0.73,0.73,0.76,0.78,0.85,1.09,1.10,1.10,0.13
Decode Duration (ms),352.91,276.07,561.72,3529.10,276.33,277.34,278.61,293.44,331.51,366.72,444.33,503.03,549.98,83.31
E2E Output Token Throughput (tokens/sec/user),601.48,294.06,802.96,6014.75,305.77,352.63,411.20,497.73,624.51,737.44,798.81,800.89,802.55,159.42
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Concurrency,0.75,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.43
Effective Decode Throughput (tokens/sec),545.07,0.00,1896.59,,,,,,676.22,,897.33,930.63,965.34,341.36
Effective Decode Throughput Per User (tokens/sec/user),545.07,0.00,1896.59,,,,,,676.22,,897.33,930.63,965.34,341.36
Effective Latency (CO-aware) (ms),466.78,319.58,871.68,4667.78,319.75,320.42,321.26,349.12,410.73,515.57,630.95,751.31,847.61,161.01
Effective Prefill Concurrency,0.24,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.43
Effective Prefill Throughput (tokens/sec),136.86,0.00,2539.29,,,,,,0.00,,556.15,982.52,1540.40,384.51
Effective Prefill Throughput Per User (tokens/sec/user),136.86,0.00,2539.29,,,,,,0.00,,556.15,982.52,1540.40,384.51
Effective Total Throughput (tokens/sec),681.93,0.00,2539.29,,,,,,705.35,,923.67,982.52,1540.40,336.49
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,52.60,41.00,83.00,526.00,41.09,41.45,41.90,44.00,49.50,54.75,65.90,74.45,81.29,12.17
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.14,0.00,1.38,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.76,1.25,0.41
HTTP Connection Overhead (ms),0.14,0.00,1.38,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.76,1.25,0.41
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),13.27,10.62,20.31,132.71,10.64,10.71,10.80,11.30,12.52,13.78,16.35,18.33,19.91,2.81
HTTP Data Sent (KB),0.37,0.24,0.59,3.75,0.24,0.24,0.25,0.31,0.34,0.41,0.54,0.57,0.59,0.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),465.87,318.77,870.40,4658.70,318.94,319.60,320.42,348.27,409.92,514.65,630.11,750.25,846.37,160.90
HTTP Receiving (ms),352.92,276.07,561.72,3529.17,276.33,277.34,278.61,293.45,331.52,366.72,444.34,503.03,549.98,83.31
HTTP Sending (ms),0.29,0.11,1.75,2.85,0.11,0.11,0.11,0.12,0.12,0.12,0.32,1.04,1.61,0.49
HTTP Total Time (ms),466.01,318.77,871.77,4660.07,318.94,319.60,320.42,348.27,409.92,514.65,630.25,751.01,847.62,161.25
HTTP Waiting (TTFB) (ms),112.67,41.57,573.27,1126.67,41.57,41.58,41.59,42.75,44.43,46.43,240.04,406.66,539.95,160.71
Input Sequence Length (tokens),64.00,28.00,113.00,640.00,28.81,32.05,36.10,45.50,60.50,69.75,106.70,109.85,112.37,26.12
Inter Chunk Latency (ms),6.84,3.72,10.93,3529.10,5.80,6.53,6.58,6.67,6.79,7.00,7.18,7.31,7.71,0.42
Inter Token Latency (ms),1.38,1.08,2.20,13.85,1.08,1.09,1.09,1.15,1.30,1.44,1.75,1.98,2.16,0.33
Output Sequence Length (tokens),255.90,255.00,256.00,2559.00,255.09,255.45,255.90,256.00,256.00,256.00,256.00,256.00,256.00,0.30
Output Token Throughput Per User (tokens/sec/user),755.19,453.96,923.67,7551.93,466.11,514.70,575.43,695.41,769.63,869.02,915.27,919.47,922.83,143.09
Prefill Throughput Per User (tokens/sec/user),1124.71,114.73,2539.30,11247.07,154.46,313.37,512.01,661.40,1108.89,1449.31,1640.30,2089.80,2449.40,638.68
Reasoning Token Count (tokens),255.90,255.00,256.00,2559.00,255.09,255.45,255.90,256.00,256.00,256.00,256.00,256.00,256.00,0.30
Request Latency (ms),465.94,318.82,870.59,4659.37,318.98,319.65,320.48,348.33,409.97,514.71,630.17,750.38,846.54,160.94
Time to First Token (ms),113.03,41.74,575.25,1130.26,41.75,41.76,41.77,42.91,44.61,46.65,240.39,407.82,541.77,161.23
Time to Second Token (ms),6.31,4.98,6.74,63.08,5.09,5.51,6.03,6.34,6.48,6.49,6.59,6.66,6.72,0.47
Tokens In Flight (tokens),163.09,0.00,369.00,,,,,,151.98,,286.90,309.32,349.56,87.08

Metric,Value
Benchmark Duration (sec),4.67
Input Token Throughput (tokens/sec),136.86
Output Token Throughput (tokens/sec),547.21
Request Count,10.00
Request Throughput (requests/sec),2.14
Total Input Sequence Length (tokens),640.00
Total Output Sequence Length (tokens),2559.00
Total Reasoning Tokens (tokens),2559.00
Total Token Throughput (tokens/sec),684.07
