Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2851.34,0.00,7980.03,,,,,,3481.35,,5229.26,5644.45,6492.22,1964.62
Active Decode Throughput Per User (tokens/sec/user),388.96,0.00,1074.45,,,,,,481.92,,679.24,734.11,830.08,245.00
Active Prefill Throughput (tokens/sec),1218.09,338.30,3742.77,,,,,,1050.00,,1875.71,2191.95,3742.77,593.03
Active Prefill Throughput Per User (tokens/sec/user),898.96,330.06,2133.71,,,,,,861.71,,1431.92,1544.85,2073.33,373.24
Active Total Throughput (tokens/sec),3507.93,381.07,5462.47,,,,,,3458.10,,4347.01,4542.01,4905.31,677.91
Credit-to-Start Latency (ms),0.72,0.48,1.13,114.44,0.52,0.54,0.57,0.63,0.70,0.78,0.88,0.94,1.02,0.12
Decode Duration (ms),630.15,311.53,1246.79,100823.38,320.17,370.61,406.93,470.90,585.29,766.27,905.12,998.74,1120.85,196.35
E2E Output Token Throughput (tokens/sec/user),389.78,196.12,680.45,62364.06,215.32,239.55,258.92,302.88,381.73,462.51,526.37,554.93,664.19,102.97
Effective Concurrency,7.83,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.94
Effective Decode Concurrency,7.00,0.00,8.00,,,,,,7.00,,8.00,8.00,8.00,1.31
Effective Decode Throughput (tokens/sec),2830.64,0.00,7980.03,,,,,,3466.24,,5228.44,5641.52,6492.22,1972.39
Effective Decode Throughput Per User (tokens/sec/user),386.14,0.00,1074.45,,,,,,480.47,,678.28,734.11,830.08,246.33
Effective Latency (CO-aware) (ms),706.18,377.16,1306.30,112988.74,386.17,462.06,487.01,553.59,671.46,845.81,989.57,1069.37,1190.27,193.65
Effective Prefill Concurrency,0.84,0.00,8.00,,,,,,1.00,,2.00,3.00,4.00,1.06
Effective Prefill Throughput (tokens/sec),676.71,0.00,3742.77,,,,,,606.69,,1619.58,1902.68,3032.83,749.49
Effective Prefill Throughput Per User (tokens/sec/user),499.42,0.00,2133.71,,,,,,467.85,,1309.21,1434.39,1652.83,526.24
Effective Total Throughput (tokens/sec),3507.36,0.00,5462.47,,,,,,3458.10,,4347.01,4542.01,4905.31,679.33
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,48.64,26.00,92.00,7782.00,27.18,31.00,33.00,39.00,46.00,58.25,69.10,76.10,84.82,14.23
HTTP Chunks Sent,1.00,1.00,1.00,160.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,160.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),12.34,7.08,22.38,1974.33,7.44,8.25,8.69,10.03,11.69,14.66,17.14,18.75,20.70,3.30
HTTP Data Sent (KB),0.33,0.18,0.70,53.20,0.19,0.21,0.22,0.25,0.31,0.39,0.46,0.52,0.60,0.10
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),705.41,376.16,1305.24,112865.31,385.38,461.27,486.29,552.90,670.58,845.15,988.68,1068.65,1189.43,193.64
HTTP Receiving (ms),630.15,311.53,1246.79,100824.02,320.17,370.62,406.93,470.91,585.29,766.28,905.13,998.75,1120.85,196.35
