Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3786.37,0.00,17420.53,,,,,,4376.45,,5836.12,5999.05,6456.18,1798.02
Active Decode Throughput Per User (tokens/sec/user),253.78,0.00,4293.79,,,,,,298.38,,374.83,391.96,602.71,121.76
Active Prefill Throughput (tokens/sec),1573.86,356.41,12447.58,,,,,,1314.72,,2626.53,3139.31,4204.67,1153.05
Active Prefill Throughput Per User (tokens/sec/user),1036.79,324.93,2449.72,,,,,,1004.76,,1515.01,1696.04,2223.15,359.17
Active Total Throughput (tokens/sec),4671.15,379.20,12709.71,,,,,,4542.20,,5680.43,6201.54,7408.50,976.90
Credit-to-Start Latency (ms),0.84,0.62,1.95,270.14,0.63,0.66,0.68,0.75,0.82,0.93,1.00,1.09,1.25,0.14
Decode Duration (ms),1004.98,369.31,2221.01,321592.75,522.17,609.32,668.07,765.92,918.57,1194.39,1439.39,1657.64,2072.13,329.05
E2E Output Token Throughput (tokens/sec/user),261.55,112.18,579.60,83696.95,119.59,150.26,168.66,204.56,260.14,307.44,352.58,383.37,443.59,74.30
Effective Concurrency,15.78,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,1.44
Effective Decode Concurrency,14.87,0.00,16.00,,,,,,15.00,,16.00,16.00,16.00,1.84
Effective Decode Throughput (tokens/sec),3773.27,0.00,17420.53,,,,,,4337.67,,5832.43,5997.83,6456.18,1808.62
Effective Decode Throughput Per User (tokens/sec/user),252.90,0.00,4293.79,,,,,,297.96,,374.77,391.96,602.71,122.46
Effective Latency (CO-aware) (ms),1067.31,442.55,2291.70,341540.02,578.13,668.69,727.01,833.54,984.89,1252.19,1518.69,1704.65,2141.35,331.32
Effective Prefill Concurrency,0.91,0.00,16.00,,,,,,1.00,,2.00,3.00,4.00,1.30
Effective Prefill Throughput (tokens/sec),897.34,0.00,12447.58,,,,,,742.83,,2223.15,2745.63,3668.18,1168.38
Effective Prefill Throughput Per User (tokens/sec/user),591.13,0.00,2449.72,,,,,,668.09,,1342.75,1554.78,2139.24,580.51
Effective Total Throughput (tokens/sec),4670.62,0.00,12709.71,,,,,,4539.33,,5680.43,6201.54,7408.50,978.11
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,48.90,25.00,99.00,15648.00,29.00,31.95,33.00,37.00,44.50,59.00,71.00,79.00,92.81,14.91
HTTP Chunks Sent,1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,320.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),13.15,7.26,25.52,4206.72,8.23,8.96,9.32,10.31,12.10,15.55,18.52,20.47,23.85,3.65
HTTP Data Sent (KB),0.33,0.17,0.70,105.68,0.19,0.21,0.23,0.26,0.31,0.39,0.45,0.50,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1066.39,441.60,2290.84,341245.21,577.22,667.68,726.00,832.60,984.01,1251.38,1517.79,1703.69,2140.58,331.32
HTTP Receiving (ms),1004.98,369.31,2221.01,321592.73,522.18,609.33,668.08,765.92,918.58,1194.39,1439.39,1657.64,2072.13,329.05
HTTP Sending (ms),0.16,0.12,0.23,52.14,0.12,0.13,0.13,0.14,0.16,0.18,0.19,0.20,0.22,0.02
HTTP Total Time (ms),1066.39,441.60,2290.84,341245.21,577.22,667.68,726.00,832.60,984.01,1251.38,1517.79,1703.69,2140.58,331.32
HTTP Waiting (TTFB) (ms),61.25,36.03,111.55,19600.35,38.89,49.14,49.98,53.29,57.44,69.62,79.70,81.82,89.34,11.47
Input Sequence Length (tokens),60.64,24.00,134.00,19406.00,27.19,32.00,36.90,43.75,56.00,75.25,92.00,101.00,124.62,22.18
Inter Chunk Latency (ms),20.98,0.00,94.68,321592.75,7.84,13.76,14.38,15.07,15.68,18.30,38.11,41.53,59.41,10.91
Inter Token Latency (ms),3.94,1.45,8.68,1261.12,2.05,2.39,2.62,3.00,3.60,4.68,5.64,6.50,8.13,1.29
Output Sequence Length (tokens),256.00,255.00,257.00,81921.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.10
Output Token Count (tokens),256.00,255.00,257.00,81921.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.10
Output Token Throughput Per User (tokens/sec/user),279.24,115.26,690.47,89355.51,123.06,153.83,177.16,213.50,277.64,332.93,381.70,418.50,488.42,84.53
Prefill Throughput Per User (tokens/sec/user),1009.40,293.45,2449.72,323007.97,376.51,482.28,568.92,720.94,975.13,1236.12,1514.44,1669.56,2137.61,378.82
Request Latency (ms),1066.47,441.68,2290.90,341269.87,577.29,667.77,726.08,832.69,984.08,1251.46,1517.87,1703.77,2140.65,331.32
Time to First Output Token (ms),61.49,36.22,111.79,19677.12,39.10,49.46,50.21,53.56,57.68,69.87,79.95,82.06,89.61,11.47
Time to First Token (ms),61.49,36.22,111.79,19677.12,39.10,49.46,50.21,53.56,57.68,69.87,79.95,82.06,89.61,11.47
Time to Second Token (ms),15.20,2.71,58.94,4863.30,7.63,7.75,11.03,12.32,13.11,16.96,18.84,31.49,43.55,7.16
Tokens In Flight (tokens),2874.81,0.00,3907.90,,,,,,2912.59,,3338.79,3493.08,3714.00,434.84

Metric,Value
Benchmark Duration (sec),21.62
Input Token Throughput (tokens/sec),897.34
Output Token Throughput (tokens/sec),3788.07
Request Count,320.00
Request Throughput (requests/sec),14.80
Total Input Sequence Length (tokens),19406.00
Total Output Sequence Length (tokens),81921.00
Total Output Tokens (tokens),81921.00
Total Token Throughput (tokens/sec),4685.41
