# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: 17981dc6ad14
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,endpoint,method,engine_type,gt,le,model_name,moe_ep_rank,phase,pid,pp_rank,tp_rank,Description
127.0.0.1:8516,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of unique routing keys with active requests
127.0.0.1:8516,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8516,gauge,sglang:startup_cuda_graph_time_seconds,seconds,1.6333,1.6333,1.6333,0.0000,1.6333,1.6333,1.6333,1.6333,1.6333,1.6333,1.6333,1.6333,1.6333,,,unified,,,qwen,,draft_decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8516,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_extend,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8516,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8516,gauge,sglang:startup_cuda_graph_time_seconds,seconds,10.2778,10.2778,10.2778,0.0000,10.2778,10.2778,10.2778,10.2778,10.2778,10.2778,10.2778,10.2778,10.2778,,,unified,,,qwen,,prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8516,gauge,sglang:startup_cuda_graph_time_seconds,seconds,2.6148,2.6148,2.6148,0.0000,2.6148,2.6148,2.6148,2.6148,2.6148,2.6148,2.6148,2.6148,2.6148,,,unified,,,qwen,,target_verify,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8516,gauge,sglang:startup_time_seconds,seconds,0.4188,0.4188,0.4188,0.0000,0.4188,0.4188,0.4188,0.4188,0.4188,0.4188,0.4188,0.4188,0.4188,,,unified,,,qwen,,kv_cache_allocation,,,,Engine startup duration by phase in seconds.
127.0.0.1:8516,gauge,sglang:startup_time_seconds,seconds,4.1120,4.1120,4.1120,0.0000,4.1120,4.1120,4.1120,4.1120,4.1120,4.1120,4.1120,4.1120,4.1120,,,unified,,,qwen,,load_weight,,,,Engine startup duration by phase in seconds.
127.0.0.1:8516,gauge,sglang:startup_time_seconds,seconds,22.8444,22.8444,22.8444,0.0000,22.8444,22.8444,22.8444,22.8444,22.8444,22.8444,22.8444,22.8444,22.8444,,,unified,,,qwen,,scheduler_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8516,gauge,sglang:startup_time_seconds,seconds,33.0637,33.0637,33.0637,0.0000,33.0637,33.0637,33.0637,33.0637,33.0637,33.0637,33.0637,33.0637,33.0637,,,unified,,,qwen,,tokenizer_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8516,gauge,sglang:cache_hit_rate,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The prefix cache hit rate.
127.0.0.1:8516,gauge,sglang:context_len,,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,,,unified,,,qwen,0,,,0,0,Maximum context length.
