Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),308.23,0.00,4156.74,,,,,,307.74,,320.60,323.80,338.09,35.59
Active Decode Throughput Per User (tokens/sec/user),308.23,0.00,4156.74,,,,,,307.74,,320.60,323.80,338.09,35.59
Active Prefill Throughput (tokens/sec),2071.99,872.60,4137.25,,,,,,1908.84,,3159.87,3425.56,3536.19,709.18
Active Prefill Throughput Per User (tokens/sec/user),2071.99,872.60,4137.25,,,,,,1908.84,,3159.87,3425.56,3536.19,709.18
Active Total Throughput (tokens/sec),367.52,306.84,4137.25,,,,,,308.26,,308.43,308.98,2397.52,343.47
Credit-to-Start Latency (ms),0.93,0.67,1.52,92.55,0.69,0.74,0.78,0.82,0.90,0.97,1.11,1.20,1.35,0.14
Decode Duration (ms),827.31,825.29,830.36,82730.74,826.46,826.77,826.92,827.04,827.26,827.46,827.61,827.81,829.59,0.56
E2E Output Token Throughput (tokens/sec/user),299.04,295.88,299.83,29903.68,295.95,297.72,298.46,298.82,299.22,299.40,299.61,299.75,299.80,0.70
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.19
Effective Decode Throughput (tokens/sec),297.08,0.00,4156.74,,,,,,307.51,,320.37,323.65,336.38,67.32
Effective Decode Throughput Per User (tokens/sec/user),297.08,0.00,4156.74,,,,,,307.51,,320.37,323.65,336.38,67.32
Effective Latency (CO-aware) (ms),857.01,854.67,866.08,85701.20,854.69,854.91,855.32,855.88,856.47,857.71,858.42,860.81,865.90,2.01
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),69.47,0.00,4137.25,,,,,,0.00,,0.00,0.00,2397.52,394.94
Effective Prefill Throughput Per User (tokens/sec/user),69.47,0.00,4137.25,,,,,,0.00,,0.00,0.00,2397.52,394.94
Effective Total Throughput (tokens/sec),366.55,0.00,4137.25,,,,,,308.26,,308.43,308.98,2397.52,343.53
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),59.71,59.54,59.88,5971.15,59.55,59.59,59.61,59.66,59.71,59.76,59.80,59.82,59.87,0.07
HTTP Data Sent (KB),0.33,0.18,0.63,32.64,0.20,0.22,0.23,0.25,0.31,0.39,0.46,0.49,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),856.02,853.76,865.14,85602.49,853.84,854.06,854.40,854.99,855.50,856.63,857.55,859.80,864.96,1.98
HTTP Receiving (ms),827.31,825.29,830.36,82731.22,826.46,826.78,826.92,827.04,827.27,827.46,827.61,827.81,829.60,0.56
HTTP Sending (ms),0.13,0.10,0.19,13.40,0.11,0.12,0.12,0.13,0.13,0.14,0.15,0.16,0.17,0.01
HTTP Total Time (ms),856.02,853.76,865.14,85602.49,853.84,854.06,854.40,854.99,855.50,856.63,857.55,859.80,864.96,1.98
HTTP Waiting (TTFB) (ms),28.58,26.41,37.53,2857.87,26.46,26.74,27.00,27.55,28.04,29.18,30.04,31.20,37.09,1.91
