Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),307.78,0.00,2441.18,,,,,,307.66,,320.53,324.08,345.77,34.28
Active Decode Throughput Per User (tokens/sec/user),307.78,0.00,2441.18,,,,,,307.66,,320.53,324.08,345.77,34.28
Active Prefill Throughput (tokens/sec),1962.72,811.21,3911.51,,,,,,1646.76,,3700.52,3911.51,3911.51,968.96
Active Prefill Throughput Per User (tokens/sec/user),1962.72,811.21,3911.51,,,,,,1646.76,,3700.52,3911.51,3911.51,968.96
Active Total Throughput (tokens/sec),370.45,306.75,3911.51,,,,,,307.91,,308.11,308.11,2456.52,367.88
Credit-to-Start Latency (ms),1.04,0.76,1.71,10.38,0.77,0.80,0.85,0.87,0.95,1.01,1.43,1.57,1.68,0.28
Decode Duration (ms),828.51,827.63,831.28,8285.09,827.63,827.64,827.66,827.80,828.18,828.61,829.61,830.45,831.12,1.06
E2E Output Token Throughput (tokens/sec/user),297.32,289.21,299.25,2973.15,289.90,292.67,296.13,297.12,298.52,298.67,298.86,299.06,299.21,2.81
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.20
Effective Decode Throughput (tokens/sec),295.27,0.00,2441.18,,,,,,307.36,,320.05,323.99,345.03,69.43
Effective Decode Throughput Per User (tokens/sec/user),295.27,0.00,2441.18,,,,,,307.36,,320.05,323.99,345.03,69.43
Effective Latency (CO-aware) (ms),862.16,856.45,886.57,8621.55,856.54,856.90,857.35,857.99,858.58,862.52,866.23,876.40,884.54,8.47
Effective Prefill Concurrency,0.04,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.19
Effective Prefill Throughput (tokens/sec),74.11,0.00,3911.51,,,,,,0.00,,0.00,0.00,2456.52,418.82
Effective Prefill Throughput Per User (tokens/sec/user),74.11,0.00,3911.51,,,,,,0.00,,0.00,0.00,2456.52,418.82
Effective Total Throughput (tokens/sec),369.38,0.00,3911.51,,,,,,307.91,,308.11,308.11,2456.52,367.89
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.90,255.00,256.00,2559.00,255.09,255.45,255.90,256.00,256.00,256.00,256.00,256.00,256.00,0.30
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.18,0.00,1.77,1.77,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.97,1.61,0.53
HTTP Connection Overhead (ms),0.18,0.00,1.77,1.77,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.97,1.61,0.53
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),59.72,59.51,59.90,597.17,59.53,59.58,59.66,59.69,59.71,59.76,59.80,59.85,59.89,0.09
HTTP Data Sent (KB),0.37,0.24,0.59,3.75,0.24,0.24,0.25,0.31,0.34,0.41,0.54,0.57,0.59,0.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),861.04,855.41,884.95,8610.37,855.52,855.96,856.51,857.06,857.51,861.54,864.47,874.71,882.90,8.26
HTTP Receiving (ms),828.52,827.63,831.29,8285.19,827.64,827.65,827.66,827.80,828.18,828.62,829.65,830.47,831.13,1.06
HTTP Sending (ms),0.35,0.13,2.18,3.47,0.13,0.13,0.13,0.14,0.14,0.15,0.39,1.29,2.00,0.61
HTTP Total Time (ms),861.21,855.41,886.72,8612.14,855.52,855.96,856.51,857.06,857.51,861.54,864.65,875.69,884.51,8.78
HTTP Waiting (TTFB) (ms),32.17,27.63,53.30,321.71,27.70,28.00,28.36,28.57,28.83,32.69,36.16,44.73,51.58,7.37
Input Sequence Length (tokens),64.00,28.00,113.00,640.00,28.81,32.05,36.10,45.50,60.50,69.75,106.70,109.85,112.37,26.12
Inter Chunk Latency (ms),3.25,0.41,8.38,8285.09,2.26,3.08,3.11,3.20,3.25,3.30,3.38,3.42,3.69,0.29
