Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),603.95,0.00,1557.93,,,,,,607.05,,765.21,772.20,807.36,132.39
Active Decode Throughput Per User (tokens/sec/user),603.95,0.00,1557.93,,,,,,607.05,,765.21,772.20,807.36,132.39
Active Prefill Throughput (tokens/sec),1422.86,629.22,2643.32,,,,,,1360.78,,2603.71,2643.32,2643.32,654.68
Active Prefill Throughput Per User (tokens/sec/user),1422.86,629.22,2643.32,,,,,,1360.78,,2603.71,2643.32,2643.32,654.68
Active Total Throughput (tokens/sec),682.81,384.74,2643.32,,,,,,618.53,,770.81,1360.78,2603.71,337.84
Credit-to-Start Latency (ms),0.65,0.44,1.03,6.55,0.44,0.45,0.46,0.51,0.58,0.83,0.90,0.96,1.01,0.19
Decode Duration (ms),422.06,330.82,662.79,4220.58,331.48,334.13,337.44,347.84,397.94,446.10,523.48,593.14,648.86,96.91
E2E Output Token Throughput (tokens/sec/user),567.01,364.21,689.54,5670.14,372.97,408.01,451.80,524.78,582.06,640.29,678.45,683.99,688.43,96.08
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Concurrency,0.90,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.30
Effective Decode Throughput (tokens/sec),544.05,0.00,1557.93,,,,,,589.38,,758.84,771.56,807.01,219.94
Effective Decode Throughput Per User (tokens/sec/user),544.05,0.00,1557.93,,,,,,589.38,,758.84,771.56,807.01,219.94
Effective Latency (CO-aware) (ms),467.69,371.72,703.77,4676.92,372.37,374.95,378.19,400.85,440.76,488.34,568.24,636.00,690.22,94.94
Effective Prefill Concurrency,0.10,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.29
Effective Prefill Throughput (tokens/sec),136.60,0.00,2643.32,,,,,,0.00,,0.00,1360.78,2603.71,465.67
Effective Prefill Throughput Per User (tokens/sec/user),136.60,0.00,2643.32,,,,,,0.00,,0.00,1360.78,2603.71,465.67
Effective Total Throughput (tokens/sec),680.66,0.00,2643.32,,,,,,618.53,,770.81,1360.78,2603.71,339.47
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,52.60,41.00,83.00,526.00,41.09,41.45,41.90,44.00,49.50,54.75,65.90,74.45,81.29,12.17
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.13,0.00,1.32,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.73,1.20,0.40
HTTP Connection Overhead (ms),0.13,0.00,1.32,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.73,1.20,0.40
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
