Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),673.63,0.00,3036.23,,,,,,653.80,,899.67,988.91,1135.83,181.65
Active Decode Throughput Per User (tokens/sec/user),673.63,0.00,3036.23,,,,,,653.80,,899.67,988.91,1135.83,181.65
Active Prefill Throughput (tokens/sec),1459.40,621.69,2791.20,,,,,,1350.75,,2150.87,2285.40,2791.20,475.85
Active Prefill Throughput Per User (tokens/sec/user),1459.40,621.69,2791.20,,,,,,1350.75,,2150.87,2285.40,2791.20,475.85
Active Total Throughput (tokens/sec),750.18,386.92,2791.20,,,,,,686.28,,1072.63,1348.94,2150.87,321.09
Credit-to-Start Latency (ms),0.56,0.41,0.96,55.87,0.42,0.44,0.45,0.48,0.53,0.60,0.69,0.83,0.84,0.11
Decode Duration (ms),378.55,201.96,659.06,37854.76,228.65,249.23,264.05,310.65,366.83,429.92,516.12,594.62,626.51,98.34
E2E Output Token Throughput (tokens/sec/user),642.69,365.40,1060.76,64269.14,384.63,402.31,460.18,542.91,630.02,730.49,838.42,881.48,950.46,142.95
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.90,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.30
Effective Decode Throughput (tokens/sec),606.21,0.00,3036.23,,,,,,636.86,,881.39,980.85,1130.14,265.64
Effective Decode Throughput Per User (tokens/sec/user),606.21,0.00,3036.23,,,,,,636.86,,881.39,980.85,1130.14,265.64
Effective Latency (CO-aware) (ms),419.97,241.82,701.14,41996.55,269.86,291.25,306.07,350.89,406.83,472.10,556.83,636.80,666.06,98.59
Effective Prefill Concurrency,0.10,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.30
Effective Prefill Throughput (tokens/sec),141.76,0.00,2791.20,,,,,,0.00,,0.00,1348.94,2150.87,456.93
Effective Prefill Throughput Per User (tokens/sec/user),141.76,0.00,2791.20,,,,,,0.00,,0.00,1348.94,2150.87,456.93
Effective Total Throughput (tokens/sec),747.96,0.00,2791.20,,,,,,684.95,,1072.63,1348.94,2150.87,323.19
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,46.87,25.00,82.00,4687.00,28.96,30.00,33.00,39.00,45.00,53.00,64.10,73.05,78.04,12.09
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),11.92,6.97,20.07,1191.59,7.76,8.07,8.67,10.04,11.50,13.36,15.95,17.90,19.20,2.81
