Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),308.83,0.00,24712.30,,,,,,307.39,,312.29,323.50,328.66,182.58
Active Decode Throughput Per User (tokens/sec/user),308.83,0.00,24712.30,,,,,,307.39,,312.29,323.50,328.66,182.58
Active Prefill Throughput (tokens/sec),2287.12,1006.50,4572.55,,,,,,2144.30,,3164.36,3556.22,4572.55,712.61
Active Prefill Throughput Per User (tokens/sec/user),2287.12,1006.50,4572.55,,,,,,2144.30,,3164.36,3556.22,4572.55,712.61
Active Total Throughput (tokens/sec),369.38,306.26,4572.55,,,,,,308.38,,311.74,313.52,2415.06,362.87
Credit-to-Start Latency (ms),0.77,0.49,1.14,77.41,0.51,0.57,0.58,0.68,0.77,0.88,0.96,1.00,1.08,0.14
Decode Duration (ms),825.70,807.00,832.63,82569.65,810.30,816.78,819.64,823.66,827.05,828.95,829.17,829.28,830.57,4.50
E2E Output Token Throughput (tokens/sec/user),300.56,295.91,308.31,30056.24,297.52,298.26,298.90,299.29,300.20,301.30,302.48,304.46,307.06,1.86
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.18
Effective Decode Throughput (tokens/sec),298.67,0.00,24712.30,,,,,,307.30,,312.03,323.38,328.39,187.81
Effective Decode Throughput Per User (tokens/sec/user),298.67,0.00,24712.30,,,,,,307.30,,312.03,323.38,328.39,187.81
Effective Latency (CO-aware) (ms),852.54,830.95,865.90,85254.26,834.41,841.43,847.21,850.52,853.59,856.21,857.28,858.22,861.34,5.20
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.17
Effective Prefill Throughput (tokens/sec),69.84,0.00,4572.55,,,,,,0.00,,0.00,0.00,2415.06,412.76
Effective Prefill Throughput Per User (tokens/sec/user),69.84,0.00,4572.55,,,,,,0.00,,0.00,0.00,2415.06,412.76
Effective Total Throughput (tokens/sec),368.52,0.00,4572.55,,,,,,308.38,,311.74,313.52,2415.06,362.88
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.92,255.00,256.00,25592.00,255.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.27
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),63.10,62.91,63.39,6309.52,62.98,62.99,63.01,63.04,63.09,63.14,63.20,63.21,63.27,0.07
HTTP Data Sent (KB),0.33,0.18,0.63,32.64,0.20,0.22,0.23,0.25,0.31,0.39,0.46,0.49,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),851.72,830.30,865.08,85171.70,833.66,840.80,846.31,849.70,852.72,855.27,856.39,857.53,860.38,5.18
HTTP Receiving (ms),825.70,807.01,832.64,82569.89,810.30,816.78,819.64,823.66,827.05,828.95,829.18,829.28,830.58,4.50
HTTP Sending (ms),0.12,0.09,0.15,11.64,0.09,0.09,0.10,0.11,0.12,0.12,0.13,0.13,0.14,0.01
HTTP Total Time (ms),851.72,830.30,865.08,85171.70,833.66,840.80,846.31,849.70,852.72,855.27,856.39,857.53,860.38,5.18
HTTP Waiting (TTFB) (ms),25.90,22.61,35.68,2590.17,22.84,22.99,23.22,23.74,26.71,27.35,27.99,28.63,30.26,2.20
Input Sequence Length (tokens),59.63,24.00,127.00,5963.00,28.95,31.95,36.90,44.00,54.50,70.00,88.50,95.05,123.04,21.34
Inter Chunk Latency (ms),3.24,0.00,10.62,82569.65,0.30,3.08,3.13,3.23,3.25,3.27,3.29,3.30,4.18,0.62
Inter Token Latency (ms),3.24,3.16,3.27,323.80,3.18,3.20,3.21,3.23,3.24,3.25,3.25,3.25,3.26,0.02
