Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),310.08,0.00,25326.07,,,,,,308.04,,323.31,325.39,329.26,198.62
Active Decode Throughput Per User (tokens/sec/user),310.08,0.00,25326.07,,,,,,308.04,,323.31,325.39,329.26,198.62
Active Prefill Throughput (tokens/sec),1808.35,591.83,3885.03,,,,,,1765.78,,3833.42,3885.03,3885.03,1120.61
Active Prefill Throughput Per User (tokens/sec/user),1808.35,591.83,3885.03,,,,,,1765.78,,3833.42,3885.03,3885.03,1120.61
Active Total Throughput (tokens/sec),371.90,307.58,3885.03,,,,,,310.23,,312.22,312.22,2237.32,374.99
Credit-to-Start Latency (ms),0.85,0.66,1.28,8.49,0.67,0.68,0.69,0.72,0.81,0.91,1.06,1.17,1.26,0.18
Decode Duration (ms),822.37,816.73,829.05,8223.74,816.74,816.79,816.85,817.52,823.12,826.62,828.09,828.57,828.96,4.66
E2E Output Token Throughput (tokens/sec/user),298.70,274.24,303.96,2986.99,276.45,285.27,296.31,299.32,301.15,302.77,303.33,303.65,303.90,8.32
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.21
Effective Decode Throughput (tokens/sec),296.45,0.00,25326.07,,,,,,307.90,,323.18,325.25,328.90,204.34
Effective Decode Throughput Per User (tokens/sec/user),296.45,0.00,25326.07,,,,,,307.90,,323.18,325.25,328.90,204.34
Effective Latency (CO-aware) (ms),858.61,843.04,934.77,8586.14,843.20,843.83,844.63,846.37,850.79,856.14,865.31,900.04,927.83,25.82
Effective Prefill Concurrency,0.04,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.20
Effective Prefill Throughput (tokens/sec),74.40,0.00,3885.03,,,,,,0.00,,0.00,0.00,2237.32,425.06
Effective Prefill Throughput Per User (tokens/sec/user),74.40,0.00,3885.03,,,,,,0.00,,0.00,0.00,2237.32,425.06
Effective Total Throughput (tokens/sec),370.85,0.00,3885.03,,,,,,310.23,,312.22,312.22,2237.32,374.98
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.50,254.00,256.00,2555.00,254.09,254.45,254.90,255.00,256.00,256.00,256.00,256.00,256.00,0.67
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.16,0.00,1.57,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.86,1.43,0.47
HTTP Connection Overhead (ms),0.16,0.00,1.57,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.86,1.43,0.47
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),63.15,63.08,63.22,631.51,63.08,63.10,63.11,63.13,63.14,63.19,63.21,63.21,63.22,0.04
HTTP Data Sent (KB),0.37,0.24,0.59,3.75,0.24,0.24,0.25,0.31,0.34,0.41,0.54,0.57,0.59,0.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),857.70,842.16,933.31,8576.95,842.34,843.03,843.90,845.47,850.03,855.21,864.46,898.89,926.43,25.65
HTTP Receiving (ms),822.38,816.73,829.06,8223.78,816.74,816.79,816.85,817.52,823.13,826.62,828.10,828.58,828.96,4.66
HTTP Sending (ms),0.31,0.12,1.93,3.14,0.12,0.12,0.12,0.13,0.13,0.14,0.36,1.14,1.78,0.54
HTTP Total Time (ms),857.85,842.16,934.88,8578.52,842.34,843.03,843.90,845.47,850.03,855.21,864.62,899.75,927.85,26.11
HTTP Waiting (TTFB) (ms),35.00,23.61,109.38,350.03,23.74,24.22,24.83,25.76,27.39,27.90,37.28,73.33,102.17,24.84
Input Sequence Length (tokens),64.00,28.00,113.00,640.00,28.81,32.05,36.10,45.50,60.50,69.75,106.70,109.85,112.37,26.12
Inter Chunk Latency (ms),3.22,0.00,10.44,8223.74,0.10,3.07,3.09,3.23,3.25,3.27,3.28,3.30,5.47,0.71
Inter Token Latency (ms),3.22,3.20,3.25,32.25,3.20,3.20,3.20,3.21,3.23,3.24,3.25,3.25,3.25,0.02
Output Sequence Length (tokens),256.00,256.00,256.00,2560.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,2560.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),310.09,307.58,312.22,3100.88,307.62,307.76,307.94,308.49,309.80,311.92,312.18,312.20,312.22,1.76
Prefill Throughput Per User (tokens/sec/user),2157.06,591.83,3885.03,21570.59,638.50,825.20,1058.57,1529.77,2053.54,2500.81,3838.56,3861.79,3880.38,1010.46
Request Latency (ms),857.77,842.22,933.50,8577.65,842.40,843.09,843.95,845.53,850.08,855.27,864.53,899.01,926.60,25.68
Time to First Output Token (ms),35.39,23.79,111.52,353.91,23.91,24.43,25.07,25.94,27.57,28.09,37.68,74.60,104.14,25.42
Time to First Token (ms),35.39,23.79,111.52,353.91,23.91,24.43,25.07,25.94,27.57,28.09,37.68,74.60,104.14,25.42
Time to Second Token (ms),1.19,0.14,1.73,11.92,0.20,0.45,0.75,0.94,1.41,1.46,1.58,1.65,1.71,0.45
Tokens In Flight (tokens),186.76,0.00,369.00,,,,,,187.00,,294.00,313.00,352.00,81.02

Metric,Value
Benchmark Duration (sec),8.60
Input Token Throughput (tokens/sec),74.40
Output Token Throughput (tokens/sec),297.61
Request Count,10.00
Request Throughput (requests/sec),1.16
Total Input Sequence Length (tokens),640.00
Total Output Sequence Length (tokens),2560.00
Total Output Tokens (tokens),2560.00
Total Token Throughput (tokens/sec),372.01
