# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: 9b12bb9ebd81
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,endpoint,method,engine_type,gt,le,model_name,moe_ep_rank,phase,pid,pp_rank,tp_rank,Description
127.0.0.1:8104,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of unique routing keys with active requests
127.0.0.1:8104,gauge,sglang:startup_cuda_graph_time_seconds,seconds,2.2623,2.2623,2.2623,0.0000,2.2623,2.2623,2.2623,2.2623,2.2623,2.2623,2.2623,2.2623,2.2623,,,unified,,,qwen,,decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8104,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8104,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_extend,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8104,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8104,gauge,sglang:startup_cuda_graph_time_seconds,seconds,9.2191,9.2191,9.2191,0.0000,9.2191,9.2191,9.2191,9.2191,9.2191,9.2191,9.2191,9.2191,9.2191,,,unified,,,qwen,,prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8104,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,target_verify,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8104,gauge,sglang:startup_time_seconds,seconds,0.0224,0.0224,0.0224,0.0000,0.0224,0.0224,0.0224,0.0224,0.0224,0.0224,0.0224,0.0224,0.0224,,,unified,,,qwen,,kv_cache_allocation,,,,Engine startup duration by phase in seconds.
127.0.0.1:8104,gauge,sglang:startup_time_seconds,seconds,2.5254,2.5254,2.5254,0.0000,2.5254,2.5254,2.5254,2.5254,2.5254,2.5254,2.5254,2.5254,2.5254,,,unified,,,qwen,,load_weight,,,,Engine startup duration by phase in seconds.
127.0.0.1:8104,gauge,sglang:startup_time_seconds,seconds,17.0092,17.0092,17.0092,0.0000,17.0092,17.0092,17.0092,17.0092,17.0092,17.0092,17.0092,17.0092,17.0092,,,unified,,,qwen,,scheduler_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8104,gauge,sglang:startup_time_seconds,seconds,25.2693,25.2693,25.2693,0.0000,25.2693,25.2693,25.2693,25.2693,25.2693,25.2693,25.2693,25.2693,25.2693,,,unified,,,qwen,,tokenizer_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8104,gauge,sglang:cache_hit_rate,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The prefix cache hit rate.
127.0.0.1:8104,gauge,sglang:context_len,,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,,,unified,,,qwen,0,,,0,0,Maximum context length.
127.0.0.1:8104,gauge,sglang:decode_sum_seq_lens,,205.3514,56.0000,392.0000,78.4696,66.7400,82.9000,100.6000,140.0000,204.0000,275.0000,306.2000,324.0000,351.2600,,,unified,,,qwen,0,,,0,0,The sum of all sequence lengths in decode.
127.0.0.1:8104,gauge,sglang:full_token_usage,,0.0002,0.0000,0.0004,0.0001,0.0000,0.0001,0.0001,0.0001,0.0002,0.0002,0.0003,0.0003,0.0004,,,unified,,,qwen,0,,,0,0,The token usage for full attention layers.
127.0.0.1:8104,gauge,sglang:gen_throughput,tokens/s,265.4668,0.0000,324.1500,97.7552,0.0000,0.0000,0.0000,265.6070,306.9637,307.1918,310.1648,314.4116,322.9082,,,unified,,,qwen,0,,,0,0,The generation throughput (token/s).
127.0.0.1:8104,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Whether the batch is using CUDA graph.
127.0.0.1:8104,gauge,sglang:kv_available_tokens,tokens,943899.0232,931271.0000,956597.0000,7389.6538,931420.6000,932471.0000,933668.0000,937501.5000,943912.0000,950261.5000,954065.0000,955363.0000,956371.6000,,,unified,,,qwen,0,,,0,0,Number of free token slots in the KV cache pool.
127.0.0.1:8104,gauge,sglang:kv_cache_memory_usage_gb,,29.2704,29.2704,29.2704,0.0000,29.2704,29.2704,29.2704,29.2704,29.2704,29.2704,29.2704,29.2704,29.2704,,,unified,,,qwen,0,,,0,0,Memory used by the KV cache pools in GB.
127.0.0.1:8104,gauge,sglang:kv_evictable_tokens,tokens,15054.9923,2530.0000,27796.0000,7389.8392,2531.7400,3545.0000,4806.0000,8727.5000,15169.0000,21479.0000,25269.0000,26535.0000,27540.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
127.0.0.1:8104,gauge,sglang:kv_used_tokens,tokens,175.9846,0.0000,341.0000,82.1910,0.0000,57.9000,70.8000,107.5000,180.0000,238.5000,286.4000,303.0000,336.0000,,,unified,,,qwen,0,,,0,0,Number of actively used token slots in the KV cache pool.
127.0.0.1:8104,gauge,sglang:mamba_available_tokens,tokens,450.7375,376.0000,530.0000,43.3969,377.1600,383.0000,391.0000,414.0000,450.0000,489.0000,511.0000,519.0000,526.0000,,,unified,,,qwen,0,,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
127.0.0.1:8104,gauge,sglang:mamba_evictable_tokens,tokens,93.8417,18.0000,170.0000,43.4561,18.0000,26.0000,33.0000,56.5000,95.0000,130.0000,153.0000,162.0000,168.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
127.0.0.1:8104,gauge,sglang:mamba_usage,,0.0062,0.0000,0.0073,0.0014,0.0000,0.0055,0.0055,0.0055,0.0073,0.0073,0.0073,0.0073,0.0073,,,unified,,,qwen,0,,,0,0,The token usage for Mamba layers.
127.0.0.1:8104,gauge,sglang:mamba_used_tokens,tokens,3.4208,0.0000,4.0000,0.7853,0.0000,3.0000,3.0000,3.0000,4.0000,4.0000,4.0000,4.0000,4.0000,,,unified,,,qwen,0,,,0,0,Number of actively used state slots in the mamba SSM pool.
127.0.0.1:8104,gauge,sglang:max_total_num_tokens,tokens,959130.0000,959130.0000,959130.0000,0.0000,959130.0000,959130.0000,959130.0000,959130.0000,959130.0000,959130.0000,959130.0000,959130.0000,959130.0000,,,unified,,,qwen,0,,,0,0,Maximum total number of tokens in the KV cache pool.
127.0.0.1:8104,gauge,sglang:new_token_ratio,ratio,0.7000,0.7000,0.7000,0.0000,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,,,unified,,,qwen,0,,,0,0,The new token ratio.
127.0.0.1:8104,gauge,sglang:num_decode_prealloc_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the decode prealloc queue.
127.0.0.1:8104,gauge,sglang:num_decode_transfer_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the decode transfer queue.
127.0.0.1:8104,gauge,sglang:num_grammar_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the grammar waiting queue.
127.0.0.1:8104,gauge,sglang:num_pages,,959130.0000,959130.0000,959130.0000,0.0000,959130.0000,959130.0000,959130.0000,959130.0000,959130.0000,959130.0000,959130.0000,959130.0000,959130.0000,,,unified,,,qwen,0,,,0,0,Number of KV cache pages.
127.0.0.1:8104,gauge,sglang:num_prefill_bootstrap_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the prefill bootstrap queue.
127.0.0.1:8104,gauge,sglang:num_prefill_inflight_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the prefill inflight queue.
127.0.0.1:8104,gauge,sglang:num_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the waiting queue.
127.0.0.1:8104,gauge,sglang:num_running_reqs,requests,0.8842,0.0000,1.0000,0.3206,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,unified,,,qwen,0,,,0,0,The number of running requests.
127.0.0.1:8104,gauge,sglang:num_unique_running_routing_keys,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of unique routing keys in running batch.
127.0.0.1:8104,gauge,sglang:num_used_tokens,tokens,175.9846,0.0000,341.0000,82.1910,0.0000,57.9000,70.8000,107.5000,180.0000,238.5000,286.4000,303.0000,336.0000,,,unified,,,qwen,0,,,0,0,The number of used tokens.
127.0.0.1:8104,gauge,sglang:page_size,tokens,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,unified,,,qwen,0,,,0,0,KV cache page size in tokens.
127.0.0.1:8104,gauge,sglang:pending_prealloc_token_usage,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The token usage for pending preallocated tokens (not preallocated yet).
127.0.0.1:8104,gauge,sglang:spec_accept_length,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Mean acceptance length of speculative decoding (accepted drafts + bonus token per forward).
127.0.0.1:8104,gauge,sglang:spec_accept_rate,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Speculative acceptance rate (`accepted drafts / proposed drafts` in batch).
127.0.0.1:8104,gauge,sglang:spec_block_accept_length,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Mean uncapped full-block accept length per verify step (accept + cap-trimmed drafts; exact only in DSpark cap-accept mode).
127.0.0.1:8104,gauge,sglang:spec_cap_length,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,"Mean DSpark confidence-scheduled verify window per verify step, incl the bonus slot (0 when no cap is scheduled)."
127.0.0.1:8104,gauge,sglang:spec_num_draft_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Currently active speculative_num_draft_tokens (decouples from steps under topk>1).
127.0.0.1:8104,gauge,sglang:spec_num_steps,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Currently active speculative_num_steps.
127.0.0.1:8104,gauge,sglang:startup_available_gpu_memory_gb,,13.6719,13.6719,13.6719,0.0000,13.6719,13.6719,13.6719,13.6719,13.6719,13.6719,13.6719,13.6719,13.6719,,,unified,,,qwen,0,,,0,0,Available GPU memory in GB at startup.
127.0.0.1:8104,gauge,sglang:swa_available_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of free token slots in the SWA pool (hybrid-SWA only).
127.0.0.1:8104,gauge,sglang:swa_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) token slots in the SWA pool.
127.0.0.1:8104,gauge,sglang:swa_token_usage,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The token usage for SWA layers.
127.0.0.1:8104,gauge,sglang:swa_used_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of actively used token slots in the SWA pool.
127.0.0.1:8104,gauge,sglang:token_usage,,0.0097,0.0000,0.0100,0.0017,0.0000,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,,,unified,,,qwen,0,,,0,0,The token usage.
127.0.0.1:8104,gauge,sglang:utilization,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The utilization.
127.0.0.1:8104,gauge,sglang:weight_memory_usage_gb,,5.9336,5.9336,5.9336,0.0000,5.9336,5.9336,5.9336,5.9336,5.9336,5.9336,5.9336,5.9336,5.9336,,,unified,,,qwen,0,,,0,0,Memory used by model weights in GB.
127.0.0.1:8104,gauge,sglang:num_paused_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,293748,0,0,The number of paused requests by async weight sync.
127.0.0.1:8104,gauge,sglang:num_retracted_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,293748,0,0,The number of retracted requests.
127.0.0.1:8104,gauge,sglang:graph_memory_usage_gb,,0.1367,0.1367,0.1367,0.0000,0.1367,0.1367,0.1367,0.1367,0.1367,0.1367,0.1367,0.1367,0.1367,,,unified,,,qwen,0,decode,,0,0,Memory used by captured device graphs in GB.
127.0.0.1:8104,gauge,sglang:graph_memory_usage_gb,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,draft_decode,,0,0,Memory used by captured device graphs in GB.
127.0.0.1:8104,gauge,sglang:graph_memory_usage_gb,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,draft_extend,,0,0,Memory used by captured device graphs in GB.
