Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),782.04,0.00,54482.51,,,,,,717.12,,991.72,1213.08,1327.48,378.34
Active Decode Throughput Per User (tokens/sec/user),782.04,0.00,54482.51,,,,,,717.12,,991.72,1213.08,1327.48,378.34
Active Prefill Throughput (tokens/sec),1593.89,620.77,3325.19,,,,,,1361.07,,3172.75,3325.19,3325.19,905.02
Active Prefill Throughput Per User (tokens/sec/user),1593.89,620.77,3325.19,,,,,,1361.07,,3172.75,3325.19,3325.19,905.02
Active Total Throughput (tokens/sec),871.05,620.77,3325.19,,,,,,727.77,,1234.85,1655.08,3172.75,422.94
Credit-to-Start Latency (ms),0.67,0.49,1.07,6.71,0.49,0.50,0.51,0.52,0.63,0.70,0.98,1.02,1.06,0.19
Decode Duration (ms),326.07,206.50,409.99,3260.72,210.81,228.02,249.55,281.25,332.36,381.76,399.69,404.84,408.96,64.21
E2E Output Token Throughput (tokens/sec/user),723.48,576.81,1060.75,7234.80,577.96,582.58,588.36,618.61,669.39,767.61,914.95,987.85,1046.17,145.70
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Concurrency,0.89,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.32
Effective Decode Throughput (tokens/sec),693.54,0.00,54482.51,,,,,,687.28,,990.18,1211.65,1306.74,433.96
Effective Decode Throughput Per User (tokens/sec/user),693.54,0.00,54482.51,,,,,,687.28,,990.18,1211.65,1306.74,433.96
Effective Latency (CO-aware) (ms),366.90,242.02,444.48,3668.96,245.96,261.72,281.43,334.21,383.23,414.55,435.66,440.07,443.60,62.41
Effective Prefill Concurrency,0.11,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.31
Effective Prefill Throughput (tokens/sec),174.07,0.00,3325.19,,,,,,0.00,,620.77,1655.08,3172.75,580.16
Effective Prefill Throughput Per User (tokens/sec/user),174.07,0.00,3325.19,,,,,,0.00,,620.77,1655.08,3172.75,580.16
Effective Total Throughput (tokens/sec),867.61,0.00,3325.19,,,,,,727.77,,1234.85,1655.08,3172.75,425.62
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,55.90,36.00,70.00,559.00,36.72,39.60,43.20,48.75,57.00,64.50,68.20,69.10,69.82,10.60
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.14,0.00,1.41,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.78,1.28,0.42
HTTP Connection Overhead (ms),0.14,0.00,1.41,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.78,1.28,0.42
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),14.93,10.02,18.27,149.27,10.20,10.92,11.82,13.28,15.17,17.15,17.93,18.10,18.24,2.58
HTTP Data Sent (KB),0.37,0.24,0.59,3.75,0.24,0.24,0.25,0.31,0.34,0.41,0.54,0.57,0.59,0.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),366.16,241.28,443.77,3661.63,245.20,260.86,280.44,333.59,382.32,413.96,435.08,439.43,442.90,62.47
