Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),945.04,0.00,123437.07,,,,,,923.62,,1331.52,1452.48,1831.33,431.37
Active Decode Throughput Per User (tokens/sec/user),945.04,0.00,123437.07,,,,,,923.62,,1331.52,1452.48,1831.33,431.37
Active Prefill Throughput (tokens/sec),1922.65,831.15,3665.86,,,,,,1828.30,,2685.33,3009.14,3665.86,605.04
Active Prefill Throughput Per User (tokens/sec/user),1922.65,831.15,3665.86,,,,,,1828.30,,2685.33,3009.14,3665.86,605.04
Active Total Throughput (tokens/sec),1045.82,564.42,3665.86,,,,,,978.53,,1497.09,1846.65,2685.33,428.22
Credit-to-Start Latency (ms),0.54,0.42,0.77,54.35,0.43,0.44,0.45,0.47,0.52,0.61,0.68,0.70,0.77,0.09
Decode Duration (ms),269.83,165.61,451.79,26983.09,169.93,175.84,181.77,218.01,248.45,337.66,369.86,417.37,451.67,73.65
E2E Output Token Throughput (tokens/sec/user),899.69,528.41,1288.94,89969.46,528.78,573.97,642.39,695.94,914.10,1032.81,1214.83,1248.75,1285.36,205.13
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Concurrency,0.89,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.31
Effective Decode Throughput (tokens/sec),844.32,0.00,123437.07,,,,,,887.71,,1297.93,1424.95,1734.29,501.28
Effective Decode Throughput Per User (tokens/sec/user),844.32,0.00,123437.07,,,,,,887.71,,1297.93,1424.95,1734.29,501.28
Effective Latency (CO-aware) (ms),301.39,199.15,484.97,30138.89,199.61,205.67,211.24,248.41,280.55,368.32,399.18,446.65,484.76,73.91
Effective Prefill Concurrency,0.10,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.30
Effective Prefill Throughput (tokens/sec),197.44,0.00,3665.86,,,,,,0.00,,934.52,1846.65,2685.33,614.99
Effective Prefill Throughput Per User (tokens/sec/user),197.44,0.00,3665.86,,,,,,0.00,,934.52,1846.65,2685.33,614.99
Effective Total Throughput (tokens/sec),1041.76,0.00,3665.86,,,,,,978.53,,1497.09,1846.65,2685.33,432.31
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,46.55,29.00,77.00,4655.00,29.99,30.00,31.90,38.00,43.00,58.00,63.30,71.15,76.01,12.28
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),12.59,8.48,20.03,1259.40,8.49,8.67,8.92,10.46,11.73,15.31,16.68,18.62,20.00,3.01
HTTP Data Sent (KB),0.33,0.18,0.63,32.64,0.20,0.22,0.23,0.25,0.31,0.39,0.46,0.49,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),300.80,198.58,484.43,30080.19,199.13,204.96,210.69,247.83,280.01,367.80,398.54,446.00,484.09,73.91
HTTP Receiving (ms),269.83,165.61,451.79,26983.30,169.94,175.84,181.77,218.01,248.45,337.67,369.86,417.37,451.67,73.65
HTTP Sending (ms),0.10,0.08,0.14,9.66,0.08,0.08,0.08,0.09,0.09,0.10,0.11,0.12,0.14,0.01
HTTP Total Time (ms),300.80,198.58,484.43,30080.19,199.13,204.96,210.69,247.83,280.01,367.80,398.54,446.00,484.09,73.91
HTTP Waiting (TTFB) (ms),30.87,27.90,38.48,3087.22,28.02,28.12,28.33,28.70,31.36,32.02,33.70,34.78,35.94,2.20
Input Sequence Length (tokens),59.63,24.00,127.00,5963.00,28.95,31.95,36.90,44.00,54.50,70.00,88.50,95.05,123.04,21.34
Inter Chunk Latency (ms),5.91,0.00,14.28,26983.09,2.60,4.98,5.93,5.97,5.99,6.01,6.04,6.09,9.19,0.90
Inter Token Latency (ms),1.06,0.65,1.77,105.82,0.67,0.69,0.71,0.85,0.97,1.32,1.45,1.64,1.77,0.29
Output Sequence Length (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Count (tokens),256.00,256.00,256.00,25600.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.00
Output Token Throughput Per User (tokens/sec/user),1012.60,564.42,1539.76,101259.95,564.57,611.02,689.59,755.19,1026.38,1169.67,1403.02,1450.24,1500.59,257.84
Prefill Throughput Per User (tokens/sec/user),1902.89,831.15,3665.86,190288.76,840.71,1049.33,1220.78,1498.05,1808.74,2237.83,2638.09,2957.35,3575.67,595.00
Request Latency (ms),300.85,198.61,484.47,30084.54,199.17,205.01,210.73,247.87,280.06,367.85,398.58,446.05,484.14,73.91
Time to First Output Token (ms),31.01,28.02,38.62,3101.45,28.16,28.26,28.47,28.83,31.50,32.16,33.84,34.91,36.11,2.20
Time to First Token (ms),31.01,28.02,38.62,3101.45,28.16,28.26,28.47,28.83,31.50,32.16,33.84,34.91,36.11,2.20
Time to Second Token (ms),2.93,0.00,9.34,293.31,0.00,2.39,2.77,2.89,2.96,3.10,3.30,3.49,3.86,0.94
Tokens In Flight (tokens),175.57,0.00,383.00,,,,,,174.83,,287.14,305.26,334.96,82.73

Metric,Value
Benchmark Duration (sec),30.20
Input Token Throughput (tokens/sec),197.44
Output Token Throughput (tokens/sec),847.63
Request Count,100.00
Request Throughput (requests/sec),3.31
Total Input Sequence Length (tokens),5963.00
Total Output Sequence Length (tokens),25600.00
Total Output Tokens (tokens),25600.00
Total Token Throughput (tokens/sec),1045.07


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
