Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),302.46,0.00,2500.14,,,,,,302.08,,310.53,314.79,326.72,39.90
Active Decode Throughput Per User (tokens/sec/user),302.46,0.00,2500.14,,,,,,302.08,,310.53,314.79,326.72,39.90
Active Prefill Throughput (tokens/sec),1973.47,788.40,3888.56,,,,,,2034.28,,3489.43,3888.56,3888.56,950.45
Active Prefill Throughput Per User (tokens/sec/user),1973.47,788.40,3888.56,,,,,,2034.28,,3489.43,3888.56,3888.56,950.45
Active Total Throughput (tokens/sec),364.36,301.95,3888.56,,,,,,302.62,,302.74,302.74,2454.98,364.77
Credit-to-Start Latency (ms),1.12,0.85,1.96,11.24,0.85,0.86,0.86,1.02,1.06,1.09,1.30,1.63,1.89,0.30
Decode Duration (ms),843.08,842.31,844.50,8430.78,842.32,842.35,842.39,842.54,842.65,843.74,844.20,844.35,844.47,0.77
E2E Output Token Throughput (tokens/sec/user),292.43,283.95,294.25,2924.31,284.63,287.36,290.77,293.06,293.54,293.73,293.86,294.06,294.21,2.91
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.20
Effective Decode Throughput (tokens/sec),290.43,0.00,2500.14,,,,,,301.85,,310.27,314.65,326.27,70.88
Effective Decode Throughput Per User (tokens/sec/user),290.43,0.00,2500.14,,,,,,301.85,,310.27,314.65,326.27,70.88
Effective Latency (CO-aware) (ms),876.63,871.03,902.79,8766.32,871.15,871.63,872.23,872.61,872.98,874.61,882.35,892.57,900.75,9.03
Effective Prefill Concurrency,0.04,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.19
Effective Prefill Throughput (tokens/sec),72.89,0.00,3888.56,,,,,,0.00,,0.00,0.00,2454.98,414.61
Effective Prefill Throughput Per User (tokens/sec/user),72.89,0.00,3888.56,,,,,,0.00,,0.00,0.00,2454.98,414.61
Effective Total Throughput (tokens/sec),363.32,0.00,3888.56,,,,,,302.62,,302.74,302.74,2454.98,364.77
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
