Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),624.90,0.00,3771.06,,,,,,616.70,,837.37,933.40,1066.51,178.16
Active Decode Throughput Per User (tokens/sec/user),624.90,0.00,3771.06,,,,,,616.70,,837.37,933.40,1066.51,178.16
Active Prefill Throughput (tokens/sec),1381.64,488.13,2530.13,,,,,,1276.10,,2115.28,2281.56,2530.13,472.89
Active Prefill Throughput Per User (tokens/sec/user),1381.64,488.13,2530.13,,,,,,1276.10,,2115.28,2281.56,2530.13,472.89
Active Total Throughput (tokens/sec),697.28,356.64,2530.13,,,,,,641.95,,1004.02,1232.14,2115.28,309.97
Credit-to-Start Latency (ms),0.74,0.53,1.07,74.37,0.53,0.56,0.61,0.67,0.73,0.81,0.91,0.95,1.05,0.12
Decode Duration (ms),408.06,215.35,715.01,40806.31,239.67,253.86,281.33,327.08,390.55,476.63,563.76,633.13,670.16,110.06
E2E Output Token Throughput (tokens/sec/user),600.51,338.18,997.18,60051.07,358.77,378.78,413.80,486.94,591.95,686.86,789.82,862.29,910.01,140.71
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Concurrency,0.90,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.30
Effective Decode Throughput (tokens/sec),563.36,0.00,3771.06,,,,,,589.38,,821.26,927.52,1061.35,251.57
Effective Decode Throughput Per User (tokens/sec/user),563.36,0.00,3771.06,,,,,,589.38,,821.26,927.52,1061.35,251.57
Effective Latency (CO-aware) (ms),451.97,257.40,757.65,45196.58,281.89,297.67,324.88,373.46,433.22,526.49,619.47,676.56,714.39,110.72
Effective Prefill Concurrency,0.10,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.29
Effective Prefill Throughput (tokens/sec),131.74,0.00,2530.13,,,,,,0.00,,0.00,1232.14,2115.28,431.26
Effective Prefill Throughput Per User (tokens/sec/user),131.74,0.00,2530.13,,,,,,0.00,,0.00,1232.14,2115.28,431.26
Effective Total Throughput (tokens/sec),695.10,0.00,2530.13,,,,,,641.95,,1004.02,1232.14,2115.28,311.93
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,46.87,25.00,82.00,4687.00,28.96,30.00,33.00,39.00,45.00,53.00,64.10,73.05,78.04,12.09
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),11.92,6.97,20.07,1191.59,7.76,8.07,8.67,10.04,11.50,13.36,15.95,17.90,19.20,2.81
HTTP Data Sent (KB),0.33,0.18,0.63,32.64,0.20,0.22,0.23,0.25,0.31,0.39,0.46,0.49,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),451.17,256.68,756.94,45116.58,281.29,296.83,324.07,372.65,432.42,525.68,618.60,675.67,713.51,110.72
HTTP Receiving (ms),408.07,215.36,715.02,40806.87,239.68,253.87,281.33,327.09,390.56,476.64,563.77,633.13,670.17,110.06
HTTP Sending (ms),0.12,0.09,0.21,12.20,0.09,0.09,0.10,0.11,0.12,0.13,0.14,0.15,0.19,0.02
HTTP Total Time (ms),451.17,256.68,756.94,45116.58,281.29,296.83,324.07,372.65,432.42,525.68,618.60,675.67,713.51,110.72
HTTP Waiting (TTFB) (ms),42.98,40.24,86.77,4297.51,40.31,40.50,40.69,40.99,41.65,42.73,44.82,49.07,61.72,5.48
Input Sequence Length (tokens),59.63,24.00,127.00,5963.00,28.95,31.95,36.90,44.00,54.50,70.00,88.50,95.05,123.04,21.34
Inter Chunk Latency (ms),8.90,2.82,19.91,40806.31,7.79,8.33,8.44,8.59,8.74,9.00,9.40,9.87,13.34,0.94
Inter Token Latency (ms),1.60,0.84,2.80,160.03,0.94,1.00,1.10,1.28,1.53,1.87,2.21,2.48,2.63,0.43
Output Sequence Length (tokens),256.00,255.00,257.00,25600.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,257.00,0.20
Output Token Throughput Per User (tokens/sec/user),669.42,356.64,1184.11,66941.89,380.52,402.69,452.34,535.05,652.95,779.62,906.43,1004.48,1064.08,173.57
Prefill Throughput Per User (tokens/sec/user),1384.72,488.13,2530.12,138471.64,651.18,751.93,878.45,1007.59,1286.84,1664.99,2084.51,2209.36,2314.02,466.56
Reasoning Token Count (tokens),256.00,255.00,257.00,25600.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,257.00,0.20
Request Latency (ms),451.22,256.72,757.00,45122.20,281.34,296.89,324.13,372.71,432.48,525.74,618.66,675.73,713.58,110.72
Time to First Token (ms),43.16,40.37,87.04,4315.89,40.45,40.67,40.84,41.14,41.82,42.92,45.05,49.27,61.90,5.50
Time to Second Token (ms),8.62,7.80,19.26,861.87,7.88,8.01,8.06,8.18,8.39,8.59,8.83,9.11,18.08,1.48
Tokens In Flight (tokens),173.74,0.00,383.00,,,,,,172.30,,285.27,302.96,333.21,82.41

Metric,Value
Benchmark Duration (sec),45.26
Input Token Throughput (tokens/sec),131.74
Output Token Throughput (tokens/sec),565.57
Request Count,100.00
Request Throughput (requests/sec),2.21
Total Input Sequence Length (tokens),5963.00
Total Output Sequence Length (tokens),25600.00
Total Reasoning Tokens (tokens),25600.00
Total Token Throughput (tokens/sec),697.31
