Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),317.39,0.00,8470.92,,,,,,317.00,,329.40,333.03,348.80,49.34
Active Decode Throughput Per User (tokens/sec/user),317.39,0.00,8470.92,,,,,,317.00,,329.40,333.03,348.80,49.34
Active Prefill Throughput (tokens/sec),1949.66,1045.57,3458.88,,,,,,1871.40,,2511.94,2631.69,3458.88,502.30
Active Prefill Throughput Per User (tokens/sec/user),1949.66,1045.57,3458.88,,,,,,1871.40,,2511.94,2631.69,3458.88,502.30
Active Total Throughput (tokens/sec),372.60,316.69,3458.88,,,,,,317.42,,317.58,317.74,2262.60,309.19
Credit-to-Start Latency (ms),0.81,0.61,1.09,24.37,0.62,0.65,0.66,0.71,0.79,0.89,0.99,1.03,1.07,0.12
Decode Duration (ms),803.42,802.54,805.21,24102.54,802.66,802.93,802.98,803.08,803.37,803.66,803.85,804.26,804.95,0.50
E2E Output Token Throughput (tokens/sec/user),307.86,306.31,308.57,9235.87,306.57,307.25,307.32,307.72,307.93,308.10,308.30,308.46,308.55,0.44
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.96,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.19
Effective Decode Throughput (tokens/sec),305.91,0.00,8470.92,,,,,,316.79,,329.14,332.88,348.50,76.55
Effective Decode Throughput Per User (tokens/sec/user),305.91,0.00,8470.92,,,,,,316.79,,329.14,332.88,348.50,76.55
Effective Latency (CO-aware) (ms),832.36,830.50,836.38,24970.65,830.51,830.66,831.01,831.74,832.24,832.81,833.83,833.90,835.66,1.16
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),65.78,0.00,3458.88,,,,,,0.00,,0.00,0.00,2262.60,363.91
Effective Prefill Throughput Per User (tokens/sec/user),65.78,0.00,3458.88,,,,,,0.00,,0.00,0.00,2262.60,363.91
Effective Total Throughput (tokens/sec),371.69,0.00,3458.88,,,,,,317.42,,317.58,317.74,2262.60,309.36
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.90,255.00,256.00,7677.00,255.00,255.00,255.90,256.00,256.00,256.00,256.00,256.00,256.00,0.30
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),59.68,59.49,59.82,1790.41,59.50,59.55,59.58,59.64,59.69,59.73,59.79,59.80,59.81,0.08
HTTP Data Sent (KB),0.30,0.20,0.49,9.02,0.20,0.21,0.22,0.25,0.31,0.33,0.36,0.40,0.46,0.06
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),831.49,829.59,835.70,24944.66,829.65,829.89,830.31,830.86,831.29,831.88,832.94,833.14,834.97,1.18
HTTP Receiving (ms),803.42,802.55,805.20,24102.67,802.66,802.94,802.99,803.09,803.37,803.67,803.86,804.27,804.95,0.50
HTTP Sending (ms),0.12,0.10,0.16,3.51,0.10,0.10,0.10,0.11,0.12,0.12,0.13,0.13,0.15,0.01
HTTP Total Time (ms),831.49,829.59,835.70,24944.66,829.65,829.89,830.31,830.86,831.29,831.88,832.94,833.14,834.97,1.18
HTTP Waiting (TTFB) (ms),27.95,26.32,32.50,838.48,26.42,26.73,26.83,27.40,27.90,28.36,28.76,28.79,31.43,1.07
