Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),523.17,0.00,1338.50,,,,,,534.31,,665.11,682.56,705.42,118.37
Active Decode Throughput Per User (tokens/sec/user),523.17,0.00,1338.50,,,,,,534.31,,665.11,682.56,705.42,118.37
Active Prefill Throughput (tokens/sec),553.78,114.43,2398.61,,,,,,520.43,,1379.49,1619.94,2398.61,582.79
Active Prefill Throughput Per User (tokens/sec/user),553.78,114.43,2398.61,,,,,,520.43,,1379.49,1619.94,2398.61,582.79
Active Total Throughput (tokens/sec),529.04,114.43,2398.61,,,,,,520.43,,673.33,812.78,1619.94,275.10
Credit-to-Start Latency (ms),0.90,0.66,1.31,9.03,0.67,0.70,0.73,0.79,0.85,0.96,1.14,1.22,1.29,0.18
Decode Duration (ms),487.22,378.71,771.75,4872.18,379.58,383.04,387.36,400.80,452.45,514.36,623.23,697.49,756.90,116.18
E2E Output Token Throughput (tokens/sec/user),455.12,259.16,600.27,4551.21,264.07,283.72,308.29,389.67,463.86,557.22,591.80,596.04,599.43,110.78
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.05
Effective Decode Concurrency,0.81,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.40
Effective Decode Throughput (tokens/sec),421.63,0.00,1338.50,,,,,,502.73,,652.88,680.05,703.96,232.61
Effective Decode Throughput Per User (tokens/sec/user),421.63,0.00,1338.50,,,,,,502.73,,652.88,680.05,703.96,232.61
Effective Latency (CO-aware) (ms),603.69,427.33,989.13,6036.90,427.93,430.35,433.37,462.37,553.04,656.22,834.01,911.57,973.61,172.31
Effective Prefill Concurrency,0.19,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.39
Effective Prefill Throughput (tokens/sec),105.86,0.00,2398.61,,,,,,0.00,,114.43,812.78,1619.94,335.18
Effective Prefill Throughput Per User (tokens/sec/user),105.86,0.00,2398.61,,,,,,0.00,,114.43,812.78,1619.94,335.18
Effective Total Throughput (tokens/sec),527.49,0.00,2398.61,,,,,,520.43,,673.33,812.78,1619.94,276.19
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,52.60,41.00,83.00,526.00,41.09,41.45,41.90,44.00,49.50,54.75,65.90,74.45,81.29,12.17
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.14,0.00,1.40,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.77,1.27,0.42
HTTP Connection Overhead (ms),0.14,0.00,1.40,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.77,1.27,0.42
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),13.27,10.62,20.30,132.67,10.64,10.71,10.79,11.29,12.52,13.78,16.34,18.32,19.91,2.81
HTTP Data Sent (KB),0.37,0.24,0.59,3.75,0.24,0.24,0.25,0.31,0.34,0.41,0.54,0.57,0.59,0.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),602.72,426.42,987.63,6027.17,427.03,429.48,432.54,461.45,552.18,655.13,833.06,910.35,972.17,172.17
HTTP Receiving (ms),487.23,378.72,771.75,4872.26,379.58,383.04,387.37,400.81,452.45,514.36,623.23,697.49,756.90,116.17
HTTP Sending (ms),0.30,0.08,1.88,3.03,0.09,0.10,0.11,0.12,0.13,0.14,0.36,1.12,1.73,0.53
HTTP Total Time (ms),602.86,426.42,989.02,6028.57,427.03,429.48,432.54,461.45,552.18,655.13,833.20,911.11,973.44,172.48
HTTP Waiting (TTFB) (ms),115.19,43.70,574.66,1151.89,43.73,43.85,43.99,44.91,46.82,52.05,241.63,408.15,541.36,160.27
Input Sequence Length (tokens),64.00,28.00,113.00,640.00,28.81,32.05,36.10,45.50,60.50,69.75,106.70,109.85,112.37,26.12
Inter Chunk Latency (ms),9.44,2.78,12.10,4872.18,7.75,8.91,9.03,9.20,9.40,9.64,9.94,10.27,11.00,0.58
Inter Token Latency (ms),1.91,1.49,3.03,19.12,1.49,1.50,1.52,1.57,1.77,2.02,2.45,2.74,2.97,0.46
Output Sequence Length (tokens),255.90,255.00,256.00,2559.00,255.09,255.45,255.90,256.00,256.00,256.00,256.00,256.00,256.00,0.30
Output Token Throughput Per User (tokens/sec/user),547.76,330.42,673.33,5477.63,338.36,370.12,409.82,496.11,564.50,636.36,658.33,665.83,671.83,105.62
Prefill Throughput Per User (tokens/sec/user),1072.19,114.43,2398.60,10721.93,150.97,297.13,479.83,617.00,1038.43,1346.54,1697.80,2048.20,2328.52,616.23
Reasoning Token Count (tokens),255.90,255.00,256.00,2559.00,255.09,255.45,255.90,256.00,256.00,256.00,256.00,256.00,256.00,0.30
Request Latency (ms),602.79,426.47,987.82,6027.86,427.08,429.53,432.59,461.50,552.23,655.19,833.13,910.47,972.35,172.20
Time to First Token (ms),115.57,43.83,576.78,1155.69,43.86,43.99,44.16,45.09,47.03,52.29,242.01,409.39,543.30,160.82
Time to Second Token (ms),9.49,8.74,11.43,94.92,8.76,8.86,8.98,9.10,9.42,9.53,9.75,10.59,11.27,0.70
Tokens In Flight (tokens),168.40,0.00,369.00,,,,,,161.88,,287.62,310.14,347.30,86.04

Metric,Value
Benchmark Duration (sec),6.04
Input Token Throughput (tokens/sec),105.86
Output Token Throughput (tokens/sec),423.28
Request Count,10.00
Request Throughput (requests/sec),1.65
Total Input Sequence Length (tokens),640.00
Total Output Sequence Length (tokens),2559.00
Total Reasoning Tokens (tokens),2559.00
Total Token Throughput (tokens/sec),529.14
