Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),640.52,0.00,2897.96,,,,,,637.25,,815.88,875.53,971.32,145.74
Active Decode Throughput Per User (tokens/sec/user),640.52,0.00,2897.96,,,,,,637.25,,815.88,875.53,971.32,145.74
Active Prefill Throughput (tokens/sec),1274.43,654.68,2092.67,,,,,,1247.92,,1640.17,1710.56,2092.67,317.71
Active Prefill Throughput Per User (tokens/sec/user),1274.43,654.68,2092.67,,,,,,1247.92,,1640.17,1710.56,2092.67,317.71
Active Total Throughput (tokens/sec),702.36,378.02,2092.67,,,,,,654.68,,954.77,1247.92,1640.17,248.05
Credit-to-Start Latency (ms),0.73,0.54,0.94,21.84,0.56,0.61,0.64,0.69,0.73,0.77,0.82,0.86,0.92,0.08
Decode Duration (ms),398.01,267.08,671.93,11940.32,274.05,294.09,301.86,341.57,374.14,446.06,480.86,563.93,657.60,88.98
E2E Output Token Throughput (tokens/sec/user),601.09,356.94,828.08,18032.62,365.00,425.31,489.42,524.14,613.65,666.95,744.01,759.40,809.97,106.77
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Concurrency,0.90,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.30
Effective Decode Throughput (tokens/sec),576.18,0.00,2897.96,,,,,,609.88,,804.90,865.87,966.77,237.01
Effective Decode Throughput Per User (tokens/sec/user),576.18,0.00,2897.96,,,,,,609.88,,804.90,865.87,966.77,237.01
Effective Latency (CO-aware) (ms),441.76,309.87,715.16,13252.93,317.19,337.91,344.74,384.66,417.92,489.14,523.61,608.30,700.93,88.89
Effective Prefill Concurrency,0.10,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.30
Effective Prefill Throughput (tokens/sec),123.93,0.00,2092.67,,,,,,0.00,,0.00,1247.92,1640.17,390.38
Effective Prefill Throughput Per User (tokens/sec/user),123.93,0.00,2092.67,,,,,,0.00,,0.00,1247.92,1640.17,390.38
Effective Total Throughput (tokens/sec),700.12,0.00,2092.67,,,,,,654.68,,954.77,1247.92,1640.17,250.81
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,43.97,30.00,74.00,1319.00,30.58,32.45,33.90,38.00,41.50,49.50,53.00,61.80,72.55,9.71
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),11.23,8.02,18.23,337.01,8.14,8.53,8.84,9.87,10.55,12.46,13.34,15.40,17.89,2.26
HTTP Data Sent (KB),0.30,0.20,0.49,9.02,0.20,0.21,0.22,0.25,0.31,0.33,0.36,0.40,0.46,0.06
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),440.98,309.10,714.35,13229.53,316.41,337.08,344.04,383.81,417.19,488.43,522.86,607.55,700.15,88.89
HTTP Receiving (ms),398.01,267.09,671.93,11940.44,274.06,294.09,301.86,341.57,374.14,446.06,480.86,563.94,657.61,88.98
HTTP Sending (ms),0.12,0.08,0.15,3.49,0.08,0.09,0.09,0.10,0.12,0.13,0.15,0.15,0.15,0.02
HTTP Total Time (ms),440.98,309.10,714.35,13229.53,316.41,337.08,344.04,383.81,417.19,488.43,522.86,607.55,700.15,88.89
HTTP Waiting (TTFB) (ms),42.85,41.08,49.01,1285.60,41.14,41.39,41.53,41.91,42.44,43.20,44.50,44.63,47.76,1.52
