# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: da4a9e2f72f3
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,endpoint,method,engine_type,gt,le,model_name,moe_ep_rank,phase,pid,pp_rank,tp_rank,Description
127.0.0.1:8727,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of unique routing keys with active requests
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,1.4236,1.4236,1.4236,0.0000,1.4236,1.4236,1.4236,1.4236,1.4236,1.4236,1.4236,1.4236,1.4236,,,unified,,,qwen,,draft_decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_extend,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,12.8492,12.8492,12.8492,0.0000,12.8492,12.8492,12.8492,12.8492,12.8492,12.8492,12.8492,12.8492,12.8492,,,unified,,,qwen,,prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,7.2957,7.2957,7.2957,0.0000,7.2957,7.2957,7.2957,7.2957,7.2957,7.2957,7.2957,7.2957,7.2957,,,unified,,,qwen,,target_verify,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_time_seconds,seconds,0.3841,0.3841,0.3841,0.0000,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,,,unified,,,qwen,,kv_cache_allocation,,,,Engine startup duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_time_seconds,seconds,10.2002,10.2002,10.2002,0.0000,10.2002,10.2002,10.2002,10.2002,10.2002,10.2002,10.2002,10.2002,10.2002,,,unified,,,qwen,,load_weight,,,,Engine startup duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_time_seconds,seconds,35.3092,35.3092,35.3092,0.0000,35.3092,35.3092,35.3092,35.3092,35.3092,35.3092,35.3092,35.3092,35.3092,,,unified,,,qwen,,scheduler_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_time_seconds,seconds,43.2928,43.2928,43.2928,0.0000,43.2928,43.2928,43.2928,43.2928,43.2928,43.2928,43.2928,43.2928,43.2928,,,unified,,,qwen,,tokenizer_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:cache_hit_rate,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The prefix cache hit rate.
127.0.0.1:8727,gauge,sglang:context_len,,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,,,unified,,,qwen,0,,,0,0,Maximum context length.
127.0.0.1:8727,gauge,sglang:decode_sum_seq_lens,,204.2944,51.0000,329.0000,79.4685,51.0000,76.2000,102.2000,138.0000,204.0000,280.0000,304.0000,317.0000,327.0800,,,unified,,,qwen,0,,,0,0,The sum of all sequence lengths in decode.
127.0.0.1:8727,gauge,sglang:full_token_usage,,0.0006,0.0000,0.0015,0.0003,0.0003,0.0003,0.0003,0.0004,0.0005,0.0007,0.0011,0.0012,0.0014,,,unified,,,qwen,0,,,0,0,The token usage for full attention layers.
127.0.0.1:8727,gauge,sglang:gen_throughput,tokens/s,408.0160,0.0000,526.3831,86.1251,0.0000,259.5390,316.2769,369.3307,418.9769,472.0828,497.7893,512.1319,525.7729,,,unified,,,qwen,0,,,0,0,The generation throughput (token/s).
127.0.0.1:8727,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Whether the batch is using CUDA graph.
127.0.0.1:8727,gauge,sglang:kv_available_tokens,tokens,233592.2437,233388.0000,233732.0000,66.6522,233407.6400,233443.4000,233479.6000,233566.0000,233617.0000,233640.0000,233651.0000,233658.0000,233666.0000,,,unified,,,qwen,0,,,0,0,Number of free token slots in the KV cache pool.
127.0.0.1:8727,gauge,sglang:kv_cache_memory_usage_gb,,14.2659,14.2659,14.2659,0.0000,14.2659,14.2659,14.2659,14.2659,14.2659,14.2659,14.2659,14.2659,14.2659,,,unified,,,qwen,0,,,0,0,Memory used by the KV cache pools in GB.
127.0.0.1:8727,gauge,sglang:kv_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
127.0.0.1:8727,gauge,sglang:kv_used_tokens,tokens,139.7563,0.0000,344.0000,66.6522,66.0000,74.0000,81.0000,92.0000,115.0000,166.0000,252.4000,288.6000,324.3600,,,unified,,,qwen,0,,,0,0,Number of actively used token slots in the KV cache pool.
127.0.0.1:8727,gauge,sglang:mamba_available_tokens,tokens,15.0051,15.0000,16.0000,0.0712,15.0000,15.0000,15.0000,15.0000,15.0000,15.0000,15.0000,15.0000,15.0000,,,unified,,,qwen,0,,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
127.0.0.1:8727,gauge,sglang:mamba_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
127.0.0.1:8727,gauge,sglang:mamba_usage,,0.0622,0.0000,0.0625,0.0045,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,,unified,,,qwen,0,,,0,0,The token usage for Mamba layers.
127.0.0.1:8727,gauge,sglang:mamba_used_tokens,tokens,0.9949,0.0000,1.0000,0.0712,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,unified,,,qwen,0,,,0,0,Number of actively used state slots in the mamba SSM pool.
127.0.0.1:8727,gauge,sglang:max_total_num_tokens,tokens,233732.0000,233732.0000,233732.0000,0.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,,,unified,,,qwen,0,,,0,0,Maximum total number of tokens in the KV cache pool.
127.0.0.1:8727,gauge,sglang:new_token_ratio,ratio,0.1543,0.0980,0.7000,0.1424,0.0980,0.0980,0.0980,0.0980,0.0980,0.0980,0.3659,0.5375,0.6711,,,unified,,,qwen,0,,,0,0,The new token ratio.
127.0.0.1:8727,gauge,sglang:num_decode_prealloc_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the decode prealloc queue.
127.0.0.1:8727,gauge,sglang:num_decode_transfer_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the decode transfer queue.
127.0.0.1:8727,gauge,sglang:num_grammar_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the grammar waiting queue.
127.0.0.1:8727,gauge,sglang:num_pages,,233732.0000,233732.0000,233732.0000,0.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,,,unified,,,qwen,0,,,0,0,Number of KV cache pages.
127.0.0.1:8727,gauge,sglang:num_prefill_bootstrap_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the prefill bootstrap queue.
127.0.0.1:8727,gauge,sglang:num_prefill_inflight_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the prefill inflight queue.
127.0.0.1:8727,gauge,sglang:num_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the waiting queue.
127.0.0.1:8727,gauge,sglang:num_running_reqs,requests,0.4365,0.0000,1.0000,0.4972,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,,,unified,,,qwen,0,,,0,0,The number of running requests.
127.0.0.1:8727,gauge,sglang:num_unique_running_routing_keys,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of unique routing keys in running batch.
127.0.0.1:8727,gauge,sglang:num_used_tokens,tokens,139.7563,0.0000,344.0000,66.6522,66.0000,74.0000,81.0000,92.0000,115.0000,166.0000,252.4000,288.6000,324.3600,,,unified,,,qwen,0,,,0,0,The number of used tokens.
127.0.0.1:8727,gauge,sglang:page_size,tokens,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,unified,,,qwen,0,,,0,0,KV cache page size in tokens.
127.0.0.1:8727,gauge,sglang:pending_prealloc_token_usage,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The token usage for pending preallocated tokens (not preallocated yet).
127.0.0.1:8727,gauge,sglang:spec_accept_length,,7.6484,4.0000,10.1500,1.3369,4.4560,4.8150,5.9750,6.8500,7.6500,8.7250,9.2200,9.6000,9.8860,,,unified,,,qwen,0,,,0,0,Mean acceptance length of speculative decoding (accepted drafts + bonus token per forward).
127.0.0.1:8727,gauge,sglang:spec_accept_rate,,0.4432,0.2000,0.6100,0.0891,0.2304,0.2543,0.3317,0.3900,0.4433,0.5150,0.5480,0.5733,0.5924,,,unified,,,qwen,0,,,0,0,Speculative acceptance rate (`accepted drafts / proposed drafts` in batch).
127.0.0.1:8727,gauge,sglang:spec_block_accept_length,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Mean uncapped full-block accept length per verify step (accept + cap-trimmed drafts; exact only in DSpark cap-accept mode).
127.0.0.1:8727,gauge,sglang:spec_cap_length,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,"Mean DSpark confidence-scheduled verify window per verify step, incl the bonus slot (0 when no cap is scheduled)."
127.0.0.1:8727,gauge,sglang:spec_num_draft_tokens,tokens,16.0000,16.0000,16.0000,0.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,,,unified,,,qwen,0,,,0,0,Currently active speculative_num_draft_tokens (decouples from steps under topk>1).
127.0.0.1:8727,gauge,sglang:spec_num_steps,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,unified,,,qwen,0,,,0,0,Currently active speculative_num_steps.
127.0.0.1:8727,gauge,sglang:startup_available_gpu_memory_gb,,2.0743,2.0743,2.0743,0.0000,2.0743,2.0743,2.0743,2.0743,2.0743,2.0743,2.0743,2.0743,2.0743,,,unified,,,qwen,0,,,0,0,Available GPU memory in GB at startup.
127.0.0.1:8727,gauge,sglang:swa_available_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of free token slots in the SWA pool (hybrid-SWA only).
127.0.0.1:8727,gauge,sglang:swa_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) token slots in the SWA pool.
127.0.0.1:8727,gauge,sglang:swa_token_usage,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The token usage for SWA layers.
127.0.0.1:8727,gauge,sglang:swa_used_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of actively used token slots in the SWA pool.
127.0.0.1:8727,gauge,sglang:token_usage,,0.0597,0.0000,0.0600,0.0043,0.0600,0.0600,0.0600,0.0600,0.0600,0.0600,0.0600,0.0600,0.0600,,,unified,,,qwen,0,,,0,0,The token usage.
127.0.0.1:8727,gauge,sglang:utilization,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The utilization.
127.0.0.1:8727,gauge,sglang:weight_memory_usage_gb,,30.1934,30.1934,30.1934,0.0000,30.1934,30.1934,30.1934,30.1934,30.1934,30.1934,30.1934,30.1934,30.1934,,,unified,,,qwen,0,,,0,0,Memory used by model weights in GB.
127.0.0.1:8727,gauge,sglang:num_paused_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,2013305,0,0,The number of paused requests by async weight sync.
127.0.0.1:8727,gauge,sglang:num_retracted_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,2013305,0,0,The number of retracted requests.
