# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: f42ac5478c47
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,endpoint,method,engine_type,gt,le,model_name,moe_ep_rank,phase,pid,pp_rank,tp_rank,Description
127.0.0.1:8727,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of unique routing keys with active requests
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,1.4236,1.4236,1.4236,0.0000,1.4236,1.4236,1.4236,1.4236,1.4236,1.4236,1.4236,1.4236,1.4236,,,unified,,,qwen,,draft_decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_extend,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,12.8492,12.8492,12.8492,0.0000,12.8492,12.8492,12.8492,12.8492,12.8492,12.8492,12.8492,12.8492,12.8492,,,unified,,,qwen,,prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,7.2957,7.2957,7.2957,0.0000,7.2957,7.2957,7.2957,7.2957,7.2957,7.2957,7.2957,7.2957,7.2957,,,unified,,,qwen,,target_verify,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_time_seconds,seconds,0.3841,0.3841,0.3841,0.0000,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,,,unified,,,qwen,,kv_cache_allocation,,,,Engine startup duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_time_seconds,seconds,10.2002,10.2002,10.2002,0.0000,10.2002,10.2002,10.2002,10.2002,10.2002,10.2002,10.2002,10.2002,10.2002,,,unified,,,qwen,,load_weight,,,,Engine startup duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_time_seconds,seconds,35.3092,35.3092,35.3092,0.0000,35.3092,35.3092,35.3092,35.3092,35.3092,35.3092,35.3092,35.3092,35.3092,,,unified,,,qwen,,scheduler_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_time_seconds,seconds,43.2928,43.2928,43.2928,0.0000,43.2928,43.2928,43.2928,43.2928,43.2928,43.2928,43.2928,43.2928,43.2928,,,unified,,,qwen,,tokenizer_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:cache_hit_rate,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The prefix cache hit rate.
127.0.0.1:8727,gauge,sglang:context_len,,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,,,unified,,,qwen,0,,,0,0,Maximum context length.
127.0.0.1:8727,gauge,sglang:decode_sum_seq_lens,,3113.4632,2336.0000,3809.0000,369.8799,2336.0000,2451.0000,2563.0000,2956.0000,3138.0000,3391.0000,3627.6000,3735.5000,3809.0000,,,unified,,,qwen,0,,,0,0,The sum of all sequence lengths in decode.
127.0.0.1:8727,gauge,sglang:full_token_usage,,0.0132,0.0000,0.0178,0.0024,0.0047,0.0097,0.0109,0.0127,0.0133,0.0144,0.0154,0.0158,0.0173,,,unified,,,qwen,0,,,0,0,The token usage for full attention layers.
127.0.0.1:8727,gauge,sglang:gen_throughput,tokens/s,2688.6944,0.0000,3315.2879,539.3152,0.0000,2236.8486,2521.4069,2635.1193,2793.3267,2929.5366,3031.5822,3138.0432,3315.2879,,,unified,,,qwen,0,,,0,0,The generation throughput (token/s).
127.0.0.1:8727,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Whether the batch is using CUDA graph.
127.0.0.1:8727,gauge,sglang:kv_available_tokens,tokens,230653.5158,229578.0000,233732.0000,555.8487,229678.5800,230029.4000,230130.2000,230367.0000,230620.0000,230758.0000,231195.6000,231464.8000,232626.5600,,,unified,,,qwen,0,,,0,0,Number of free token slots in the KV cache pool.
127.0.0.1:8727,gauge,sglang:kv_cache_memory_usage_gb,,14.2659,14.2659,14.2659,0.0000,14.2659,14.2659,14.2659,14.2659,14.2659,14.2659,14.2659,14.2659,14.2659,,,unified,,,qwen,0,,,0,0,Memory used by the KV cache pools in GB.
127.0.0.1:8727,gauge,sglang:kv_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
127.0.0.1:8727,gauge,sglang:kv_used_tokens,tokens,3078.4842,0.0000,4154.0000,555.8487,1105.4400,2267.2000,2536.4000,2974.0000,3112.0000,3365.0000,3601.8000,3702.6000,4053.4200,,,unified,,,qwen,0,,,0,0,Number of actively used token slots in the KV cache pool.
127.0.0.1:8727,gauge,sglang:mamba_available_tokens,tokens,0.8947,0.0000,16.0000,1.7952,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,2.3000,3.7800,,,unified,,,qwen,0,,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
127.0.0.1:8727,gauge,sglang:mamba_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
127.0.0.1:8727,gauge,sglang:mamba_usage,,0.9441,0.0000,1.0000,0.1122,0.7638,0.8562,0.8750,0.9375,1.0000,1.0000,1.0000,1.0000,1.0000,,,unified,,,qwen,0,,,0,0,The token usage for Mamba layers.
127.0.0.1:8727,gauge,sglang:mamba_used_tokens,tokens,15.1053,0.0000,16.0000,1.7952,12.2200,13.7000,14.0000,15.0000,16.0000,16.0000,16.0000,16.0000,16.0000,,,unified,,,qwen,0,,,0,0,Number of actively used state slots in the mamba SSM pool.
127.0.0.1:8727,gauge,sglang:max_total_num_tokens,tokens,233732.0000,233732.0000,233732.0000,0.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,,,unified,,,qwen,0,,,0,0,Maximum total number of tokens in the KV cache pool.
127.0.0.1:8727,gauge,sglang:new_token_ratio,ratio,0.3410,0.0980,0.7000,0.2041,0.0980,0.0980,0.0980,0.1261,0.3227,0.5219,0.6302,0.6634,0.7000,,,unified,,,qwen,0,,,0,0,The new token ratio.
127.0.0.1:8727,gauge,sglang:num_decode_prealloc_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the decode prealloc queue.
127.0.0.1:8727,gauge,sglang:num_decode_transfer_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the decode transfer queue.
127.0.0.1:8727,gauge,sglang:num_grammar_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the grammar waiting queue.
127.0.0.1:8727,gauge,sglang:num_pages,,233732.0000,233732.0000,233732.0000,0.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,,,unified,,,qwen,0,,,0,0,Number of KV cache pages.
127.0.0.1:8727,gauge,sglang:num_prefill_bootstrap_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the prefill bootstrap queue.
127.0.0.1:8727,gauge,sglang:num_prefill_inflight_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the prefill inflight queue.
127.0.0.1:8727,gauge,sglang:num_queue_reqs,requests,0.3579,0.0000,3.0000,0.6671,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,2.0000,2.0600,,,unified,,,qwen,0,,,0,0,The number of requests in the waiting queue.
127.0.0.1:8727,gauge,sglang:num_running_reqs,requests,12.8842,0.0000,16.0000,2.5677,0.0000,12.0000,12.0000,13.0000,13.0000,13.0000,16.0000,16.0000,16.0000,,,unified,,,qwen,0,,,0,0,The number of running requests.
127.0.0.1:8727,gauge,sglang:num_unique_running_routing_keys,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of unique routing keys in running batch.
127.0.0.1:8727,gauge,sglang:num_used_tokens,tokens,3078.4842,0.0000,4154.0000,555.8487,1105.4400,2267.2000,2536.4000,2974.0000,3112.0000,3365.0000,3601.8000,3702.6000,4053.4200,,,unified,,,qwen,0,,,0,0,The number of used tokens.
127.0.0.1:8727,gauge,sglang:page_size,tokens,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,unified,,,qwen,0,,,0,0,KV cache page size in tokens.
127.0.0.1:8727,gauge,sglang:pending_prealloc_token_usage,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The token usage for pending preallocated tokens (not preallocated yet).
127.0.0.1:8727,gauge,sglang:spec_accept_length,,7.7783,6.8549,8.8305,0.4978,6.8549,7.0832,7.1974,7.4541,7.8289,8.0465,8.5744,8.7214,8.8305,,,unified,,,qwen,0,,,0,0,Mean acceptance length of speculative decoding (accepted drafts + bonus token per forward).
127.0.0.1:8727,gauge,sglang:spec_accept_rate,,0.4519,0.3903,0.5220,0.0332,0.3903,0.4055,0.4132,0.4303,0.4553,0.4698,0.5050,0.5148,0.5220,,,unified,,,qwen,0,,,0,0,Speculative acceptance rate (`accepted drafts / proposed drafts` in batch).
127.0.0.1:8727,gauge,sglang:spec_block_accept_length,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Mean uncapped full-block accept length per verify step (accept + cap-trimmed drafts; exact only in DSpark cap-accept mode).
127.0.0.1:8727,gauge,sglang:spec_cap_length,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,"Mean DSpark confidence-scheduled verify window per verify step, incl the bonus slot (0 when no cap is scheduled)."
127.0.0.1:8727,gauge,sglang:spec_num_draft_tokens,tokens,16.0000,16.0000,16.0000,0.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,,,unified,,,qwen,0,,,0,0,Currently active speculative_num_draft_tokens (decouples from steps under topk>1).
127.0.0.1:8727,gauge,sglang:spec_num_steps,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,unified,,,qwen,0,,,0,0,Currently active speculative_num_steps.
127.0.0.1:8727,gauge,sglang:startup_available_gpu_memory_gb,,2.0743,2.0743,2.0743,0.0000,2.0743,2.0743,2.0743,2.0743,2.0743,2.0743,2.0743,2.0743,2.0743,,,unified,,,qwen,0,,,0,0,Available GPU memory in GB at startup.
127.0.0.1:8727,gauge,sglang:swa_available_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of free token slots in the SWA pool (hybrid-SWA only).
127.0.0.1:8727,gauge,sglang:swa_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) token slots in the SWA pool.
127.0.0.1:8727,gauge,sglang:swa_token_usage,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The token usage for SWA layers.
127.0.0.1:8727,gauge,sglang:swa_used_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of actively used token slots in the SWA pool.
127.0.0.1:8727,gauge,sglang:token_usage,,0.9455,0.0000,1.0000,0.1118,0.7614,0.8590,0.8800,0.9400,1.0000,1.0000,1.0000,1.0000,1.0000,,,unified,,,qwen,0,,,0,0,The token usage.
127.0.0.1:8727,gauge,sglang:utilization,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The utilization.
127.0.0.1:8727,gauge,sglang:weight_memory_usage_gb,,30.1934,30.1934,30.1934,0.0000,30.1934,30.1934,30.1934,30.1934,30.1934,30.1934,30.1934,30.1934,30.1934,,,unified,,,qwen,0,,,0,0,Memory used by model weights in GB.
127.0.0.1:8727,gauge,sglang:num_paused_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,2013305,0,0,The number of paused requests by async weight sync.
