Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2657.71,0.00,4381.21,,,,,,2967.03,,3390.03,3452.76,3660.00,790.02
Active Decode Throughput Per User (tokens/sec/user),187.56,0.00,481.45,,,,,,206.66,,226.65,233.21,249.70,46.98
Active Prefill Throughput (tokens/sec),638.23,35.71,7145.11,,,,,,620.26,,734.60,767.97,831.07,332.16
Active Prefill Throughput Per User (tokens/sec/user),35.79,27.68,418.21,,,,,,35.34,,40.62,41.74,43.74,9.92
Active Total Throughput (tokens/sec),3279.92,218.41,7145.11,,,,,,3286.81,,3667.02,3757.56,3935.93,389.02
Credit-to-Start Latency (ms),0.76,0.53,1.34,485.10,0.56,0.59,0.62,0.67,0.75,0.82,0.91,0.95,1.26,0.13
Decode Duration (ms),1342.76,880.79,2512.93,859367.69,890.22,969.82,1034.87,1172.53,1295.55,1460.62,1680.04,1887.79,2275.52,275.19
E2E Output Token Throughput (tokens/sec/user),87.17,60.10,243.84,55791.97,63.05,69.66,73.24,79.12,84.83,91.24,97.67,101.46,187.78,18.60
Effective Concurrency,31.38,0.00,32.00,,,,,,32.00,,32.00,32.00,32.00,3.31
Effective Decode Concurrency,13.96,0.00,16.00,,,,,,14.00,,16.00,16.00,16.00,1.70
Effective Decode Throughput (tokens/sec),2651.52,0.00,4381.21,,,,,,2966.66,,3390.03,3452.76,3660.00,799.43
Effective Decode Throughput Per User (tokens/sec/user),187.12,0.00,481.45,,,,,,206.62,,226.64,233.21,249.70,47.79
Effective Latency (CO-aware) (ms),3018.70,1051.07,4260.24,1931970.54,1365.02,2523.94,2621.99,2806.50,3018.61,3236.47,3496.09,3675.86,4061.12,421.75
Effective Prefill Concurrency,17.42,0.00,32.00,,,,,,18.00,,20.00,20.00,21.00,3.11
Effective Prefill Throughput (tokens/sec),628.28,0.00,7145.11,,,,,,617.60,,734.19,767.30,831.07,338.91
Effective Prefill Throughput Per User (tokens/sec/user),35.23,0.00,418.21,,,,,,35.20,,40.42,41.67,43.74,10.80
Effective Total Throughput (tokens/sec),3279.80,0.00,7145.11,,,,,,3286.81,,3667.02,3757.56,3935.93,389.51
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,34.99,24.00,65.00,22391.00,24.00,26.00,28.00,31.00,34.00,38.00,43.00,49.00,58.22,6.82
HTTP Chunks Sent,1.00,1.00,1.00,640.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,640.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),9.77,7.03,17.24,6254.03,7.07,7.57,7.97,8.68,9.50,10.54,11.81,13.17,15.52,1.68
HTTP Data Sent (KB),0.33,0.17,0.70,210.24,0.18,0.21,0.23,0.26,0.31,0.38,0.45,0.49,0.62,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3017.88,1049.79,4259.60,1931444.11,1364.10,2523.21,2621.05,2805.69,3017.52,3235.69,3495.25,3674.97,4060.23,421.78
HTTP Receiving (ms),1342.76,880.79,2512.93,859367.98,890.22,969.82,1034.86,1172.54,1295.55,1460.62,1680.04,1887.79,2275.52,275.19
HTTP Sending (ms),0.14,0.11,0.22,88.53,0.11,0.12,0.12,0.12,0.13,0.15,0.16,0.17,0.19,0.02
HTTP Total Time (ms),3017.88,1049.79,4259.60,1931444.11,1364.10,2523.21,2621.05,2805.69,3017.52,3235.69,3495.25,3674.97,4060.23,421.78
HTTP Waiting (TTFB) (ms),1674.98,140.81,2481.23,1071987.61,146.17,1390.40,1468.24,1575.71,1696.41,1824.10,1936.07,2022.42,2127.27,302.28
Input Sequence Length (tokens),60.42,23.00,141.00,38670.00,26.00,32.00,36.00,44.00,57.00,73.00,91.00,101.00,122.22,21.35
Inter Chunk Latency (ms),39.51,17.48,80.70,859367.69,30.71,33.94,34.32,34.85,35.65,36.56,68.61,70.43,77.41,11.47
Inter Token Latency (ms),5.27,3.45,9.85,3370.12,3.49,3.80,4.06,4.60,5.08,5.73,6.59,7.40,8.92,1.08
Output Sequence Length (tokens),256.00,255.00,256.00,163838.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.06
Output Token Count (tokens),256.00,255.00,256.00,163838.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,0.06
Output Token Throughput Per User (tokens/sec/user),197.10,101.48,289.51,126142.18,112.07,135.08,151.78,174.58,196.83,217.48,246.41,262.94,286.44,36.59
Prefill Throughput Per User (tokens/sec/user),45.06,12.01,839.71,28836.52,14.36,18.46,21.18,26.20,34.03,43.30,56.26,67.33,368.44,65.59
Request Latency (ms),3017.95,1049.87,4259.66,1931485.44,1364.17,2523.27,2621.13,2805.75,3017.59,3235.75,3495.32,3675.05,4060.29,421.77
Time to First Output Token (ms),1675.18,141.05,2481.43,1072117.74,146.43,1390.58,1468.46,1575.94,1696.59,1824.32,1936.26,2022.60,2127.48,302.27
Time to First Token (ms),1675.18,141.05,2481.43,1072117.74,146.43,1390.58,1468.46,1575.94,1696.59,1824.32,1936.26,2022.60,2127.48,302.27
Time to Second Token (ms),35.94,26.48,74.46,23000.48,30.70,32.08,32.55,33.30,34.03,34.44,34.88,65.46,68.78,8.50
Tokens In Flight (tokens),3658.73,0.00,4934.92,,,,,,3689.91,,4175.93,4337.22,4571.31,465.50

Metric,Value
Benchmark Duration (sec),61.55
Input Token Throughput (tokens/sec),628.28
Output Token Throughput (tokens/sec),2661.92
Request Count,640.00
Request Throughput (requests/sec),10.40
Total Input Sequence Length (tokens),38670.00
Total Output Sequence Length (tokens),163838.00
Total Output Tokens (tokens),163838.00
Total Token Throughput (tokens/sec),3290.20
