Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1757.71,190.51,29096.94,,,,,,2101.92,,2358.60,2385.15,2712.43,1031.06
Active Decode Throughput Per User (tokens/sec/user),254.03,56.78,3637.12,,,,,,270.60,,320.37,357.13,513.88,125.47
Active Prefill Throughput (tokens/sec),1536.90,185.06,3192.47,,,,,,1121.45,,3192.47,3192.47,3192.47,914.47
Active Prefill Throughput Per User (tokens/sec/user),679.44,185.06,1121.45,,,,,,713.76,,1121.45,1121.45,1121.45,232.61
Active Total Throughput (tokens/sec),2100.95,250.88,3214.83,,,,,,1999.76,,2783.50,3192.47,3214.83,575.34
Credit-to-Start Latency (ms),1.12,0.75,1.44,17.94,0.76,0.79,0.83,1.01,1.17,1.23,1.34,1.37,1.42,0.19
Decode Duration (ms),1005.59,755.10,1348.39,16089.40,758.57,772.46,778.35,849.38,954.68,1125.94,1316.25,1348.30,1348.37,198.08
E2E Output Token Throughput (tokens/sec/user),234.26,170.74,296.48,3748.18,170.75,170.75,178.22,201.97,235.70,258.24,294.69,295.15,296.22,41.47
Effective Concurrency,7.39,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,1.55
Effective Decode Concurrency,6.59,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,2.26
Effective Decode Throughput (tokens/sec),1670.28,0.00,29096.94,,,,,,2054.49,,2358.60,2385.15,2712.43,1075.28
Effective Decode Throughput Per User (tokens/sec/user),241.40,0.00,3637.12,,,,,,270.22,,319.96,352.82,513.88,134.21
Effective Latency (CO-aware) (ms),1129.97,864.31,1500.66,18079.59,865.10,868.24,869.68,995.46,1087.33,1270.02,1440.14,1500.45,1500.62,206.77
Effective Prefill Concurrency,0.81,0.00,8.00,,,,,,0.00,,2.00,7.00,8.00,1.92
Effective Prefill Throughput (tokens/sec),428.21,0.00,3192.47,,,,,,0.00,,1658.83,2880.53,3192.47,841.28
Effective Prefill Throughput Per User (tokens/sec/user),189.31,0.00,1121.45,,,,,,0.00,,754.28,829.42,1121.45,328.42
Effective Total Throughput (tokens/sec),2098.49,0.00,3214.83,,,,,,1999.76,,2783.50,3192.47,3214.83,579.48
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,36.75,27.00,45.00,588.00,27.60,30.00,32.00,33.00,36.00,40.50,44.00,45.00,45.00,4.98
HTTP Chunks Sent,1.00,1.00,1.00,16.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.89,0.00,1.91,14.18,0.00,0.00,0.00,0.00,0.83,1.73,1.85,1.91,1.91,0.89
HTTP Connection Overhead (ms),0.89,0.00,1.91,14.18,0.00,0.00,0.00,0.00,0.83,1.73,1.85,1.91,1.91,0.89
HTTP Connection Reused (ratio),0.50,0.00,1.00,8.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,0.50
HTTP Data Received (KB),10.22,7.80,12.31,163.56,7.96,8.60,9.01,9.34,10.06,11.17,11.99,12.26,12.30,1.23
HTTP Data Sent (KB),0.38,0.24,0.59,6.13,0.24,0.25,0.28,0.33,0.37,0.41,0.53,0.55,0.58,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),1128.70,863.38,1499.07,18059.25,864.15,867.26,868.64,993.85,1086.20,1268.57,1438.83,1499.01,1499.06,206.66
HTTP Receiving (ms),1005.60,755.13,1348.40,16089.54,758.59,772.47,778.35,849.39,954.68,1125.96,1316.26,1348.32,1348.38,198.08
HTTP Sending (ms),1.21,0.19,2.35,19.38,0.19,0.19,0.19,0.21,1.18,2.17,2.27,2.34,2.35,1.00
HTTP Total Time (ms),1129.59,863.38,1500.98,18073.43,864.15,867.26,868.64,995.57,1086.20,1270.34,1439.70,1500.78,1500.94,207.01
HTTP Waiting (TTFB) (ms),121.90,82.39,148.81,1950.34,82.59,83.39,86.81,90.98,131.27,148.47,148.68,148.72,148.79,27.47
Input Sequence Length (tokens),65.38,28.00,113.00,1046.00,29.35,34.75,39.50,55.50,62.00,69.50,101.00,107.75,111.95,22.32
