# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: 3bfc08364a84
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,endpoint,method,engine_type,gt,le,model_name,moe_ep_rank,phase,pid,pp_rank,tp_rank,Description
127.0.0.1:8727,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of unique routing keys with active requests
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,1.4236,1.4236,1.4236,0.0000,1.4236,1.4236,1.4236,1.4236,1.4236,1.4236,1.4236,1.4236,1.4236,,,unified,,,qwen,,draft_decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_extend,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,12.8492,12.8492,12.8492,0.0000,12.8492,12.8492,12.8492,12.8492,12.8492,12.8492,12.8492,12.8492,12.8492,,,unified,,,qwen,,prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_cuda_graph_time_seconds,seconds,7.2957,7.2957,7.2957,0.0000,7.2957,7.2957,7.2957,7.2957,7.2957,7.2957,7.2957,7.2957,7.2957,,,unified,,,qwen,,target_verify,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_time_seconds,seconds,0.3841,0.3841,0.3841,0.0000,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,0.3841,,,unified,,,qwen,,kv_cache_allocation,,,,Engine startup duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_time_seconds,seconds,10.2002,10.2002,10.2002,0.0000,10.2002,10.2002,10.2002,10.2002,10.2002,10.2002,10.2002,10.2002,10.2002,,,unified,,,qwen,,load_weight,,,,Engine startup duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_time_seconds,seconds,35.3092,35.3092,35.3092,0.0000,35.3092,35.3092,35.3092,35.3092,35.3092,35.3092,35.3092,35.3092,35.3092,,,unified,,,qwen,,scheduler_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:startup_time_seconds,seconds,43.2928,43.2928,43.2928,0.0000,43.2928,43.2928,43.2928,43.2928,43.2928,43.2928,43.2928,43.2928,43.2928,,,unified,,,qwen,,tokenizer_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8727,gauge,sglang:cache_hit_rate,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The prefix cache hit rate.
127.0.0.1:8727,gauge,sglang:context_len,,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,,,unified,,,qwen,0,,,0,0,Maximum context length.
127.0.0.1:8727,gauge,sglang:decode_sum_seq_lens,,1553.2568,512.0000,2119.0000,411.4588,512.0000,603.0000,1139.0000,1314.0000,1696.0000,1888.2500,1980.6000,2038.4000,2119.0000,,,unified,,,qwen,0,,,0,0,The sum of all sequence lengths in decode.
127.0.0.1:8727,gauge,sglang:full_token_usage,,0.0066,0.0000,0.0088,0.0016,0.0022,0.0032,0.0047,0.0061,0.0068,0.0076,0.0081,0.0087,0.0088,,,unified,,,qwen,0,,,0,0,The token usage for full attention layers.
127.0.0.1:8727,gauge,sglang:gen_throughput,tokens/s,1789.5336,0.0000,1961.9681,229.7540,1218.8876,1669.7091,1692.6007,1735.3866,1803.2866,1907.9735,1949.9149,1954.9622,1961.9681,,,unified,,,qwen,0,,,0,0,The generation throughput (token/s).
127.0.0.1:8727,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Whether the batch is using CUDA graph.
127.0.0.1:8727,gauge,sglang:kv_available_tokens,tokens,232185.3919,231665.0000,233732.0000,370.2006,231681.0600,231707.6000,231831.1000,231945.2500,232131.0000,232309.0000,232628.7000,232987.0000,233215.1600,,,unified,,,qwen,0,,,0,0,Number of free token slots in the KV cache pool.
127.0.0.1:8727,gauge,sglang:kv_cache_memory_usage_gb,,14.2659,14.2659,14.2659,0.0000,14.2659,14.2659,14.2659,14.2659,14.2659,14.2659,14.2659,14.2659,14.2659,,,unified,,,qwen,0,,,0,0,Memory used by the KV cache pools in GB.
127.0.0.1:8727,gauge,sglang:kv_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
127.0.0.1:8727,gauge,sglang:kv_used_tokens,tokens,1546.6081,0.0000,2067.0000,370.2006,516.8400,745.0000,1103.3000,1423.0000,1601.0000,1786.7500,1900.9000,2024.4000,2050.9400,,,unified,,,qwen,0,,,0,0,Number of actively used token slots in the KV cache pool.
127.0.0.1:8727,gauge,sglang:mamba_available_tokens,tokens,8.4054,8.0000,16.0000,1.3741,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,9.0000,10.0000,14.5400,,,unified,,,qwen,0,,,0,0,Number of free state slots in the mamba SSM pool (hybrid-SSM only).
127.0.0.1:8727,gauge,sglang:mamba_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) state slots in the mamba SSM pool.
127.0.0.1:8727,gauge,sglang:mamba_usage,,0.4747,0.0000,0.5000,0.0859,0.0912,0.3750,0.4375,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,,,unified,,,qwen,0,,,0,0,The token usage for Mamba layers.
127.0.0.1:8727,gauge,sglang:mamba_used_tokens,tokens,7.5946,0.0000,8.0000,1.3741,1.4600,6.0000,7.0000,8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,,,unified,,,qwen,0,,,0,0,Number of actively used state slots in the mamba SSM pool.
127.0.0.1:8727,gauge,sglang:max_total_num_tokens,tokens,233732.0000,233732.0000,233732.0000,0.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,,,unified,,,qwen,0,,,0,0,Maximum total number of tokens in the KV cache pool.
127.0.0.1:8727,gauge,sglang:new_token_ratio,ratio,0.3523,0.0980,0.7000,0.1990,0.0980,0.0980,0.0980,0.1597,0.3393,0.5237,0.6303,0.6596,0.7000,,,unified,,,qwen,0,,,0,0,The new token ratio.
127.0.0.1:8727,gauge,sglang:num_decode_prealloc_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the decode prealloc queue.
127.0.0.1:8727,gauge,sglang:num_decode_transfer_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the decode transfer queue.
127.0.0.1:8727,gauge,sglang:num_grammar_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the grammar waiting queue.
127.0.0.1:8727,gauge,sglang:num_pages,,233732.0000,233732.0000,233732.0000,0.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,233732.0000,,,unified,,,qwen,0,,,0,0,Number of KV cache pages.
127.0.0.1:8727,gauge,sglang:num_prefill_bootstrap_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the prefill bootstrap queue.
127.0.0.1:8727,gauge,sglang:num_prefill_inflight_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the prefill inflight queue.
127.0.0.1:8727,gauge,sglang:num_queue_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The number of requests in the waiting queue.
127.0.0.1:8727,gauge,sglang:num_running_reqs,requests,7.0405,0.0000,8.0000,1.2974,1.4600,6.0000,7.0000,7.0000,7.0000,8.0000,8.0000,8.0000,8.0000,,,unified,,,qwen,0,,,0,0,The number of running requests.
127.0.0.1:8727,gauge,sglang:num_unique_running_routing_keys,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of unique routing keys in running batch.
127.0.0.1:8727,gauge,sglang:num_used_tokens,tokens,1546.6081,0.0000,2067.0000,370.2006,516.8400,745.0000,1103.3000,1423.0000,1601.0000,1786.7500,1900.9000,2024.4000,2050.9400,,,unified,,,qwen,0,,,0,0,The number of used tokens.
127.0.0.1:8727,gauge,sglang:page_size,tokens,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,unified,,,qwen,0,,,0,0,KV cache page size in tokens.
127.0.0.1:8727,gauge,sglang:pending_prealloc_token_usage,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The token usage for pending preallocated tokens (not preallocated yet).
127.0.0.1:8727,gauge,sglang:spec_accept_length,,7.7104,7.0223,8.6454,0.4151,7.0223,7.0532,7.1565,7.4936,7.6447,7.8882,8.2605,8.5817,8.6454,,,unified,,,qwen,0,,,0,0,Mean acceptance length of speculative decoding (accepted drafts + bonus token per forward).
127.0.0.1:8727,gauge,sglang:spec_accept_rate,,0.4474,0.4015,0.5097,0.0277,0.4015,0.4035,0.4104,0.4329,0.4430,0.4592,0.4840,0.5054,0.5097,,,unified,,,qwen,0,,,0,0,Speculative acceptance rate (`accepted drafts / proposed drafts` in batch).
127.0.0.1:8727,gauge,sglang:spec_block_accept_length,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Mean uncapped full-block accept length per verify step (accept + cap-trimmed drafts; exact only in DSpark cap-accept mode).
127.0.0.1:8727,gauge,sglang:spec_cap_length,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,"Mean DSpark confidence-scheduled verify window per verify step, incl the bonus slot (0 when no cap is scheduled)."
127.0.0.1:8727,gauge,sglang:spec_num_draft_tokens,tokens,16.0000,16.0000,16.0000,0.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,,,unified,,,qwen,0,,,0,0,Currently active speculative_num_draft_tokens (decouples from steps under topk>1).
127.0.0.1:8727,gauge,sglang:spec_num_steps,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,unified,,,qwen,0,,,0,0,Currently active speculative_num_steps.
127.0.0.1:8727,gauge,sglang:startup_available_gpu_memory_gb,,2.0743,2.0743,2.0743,0.0000,2.0743,2.0743,2.0743,2.0743,2.0743,2.0743,2.0743,2.0743,2.0743,,,unified,,,qwen,0,,,0,0,Available GPU memory in GB at startup.
127.0.0.1:8727,gauge,sglang:swa_available_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of free token slots in the SWA pool (hybrid-SWA only).
127.0.0.1:8727,gauge,sglang:swa_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) token slots in the SWA pool.
127.0.0.1:8727,gauge,sglang:swa_token_usage,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The token usage for SWA layers.
127.0.0.1:8727,gauge,sglang:swa_used_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of actively used token slots in the SWA pool.
127.0.0.1:8727,gauge,sglang:token_usage,,0.4749,0.0000,0.5000,0.0862,0.0876,0.3800,0.4400,0.5000,0.5000,0.5000,0.5000,0.5000,0.5000,,,unified,,,qwen,0,,,0,0,The token usage.
127.0.0.1:8727,gauge,sglang:utilization,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The utilization.
127.0.0.1:8727,gauge,sglang:weight_memory_usage_gb,,30.1934,30.1934,30.1934,0.0000,30.1934,30.1934,30.1934,30.1934,30.1934,30.1934,30.1934,30.1934,30.1934,,,unified,,,qwen,0,,,0,0,Memory used by model weights in GB.
127.0.0.1:8727,gauge,sglang:num_paused_reqs,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,2013305,0,0,The number of paused requests by async weight sync.
