Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),4550.17,0.00,79067.85,,,,,,5272.81,,7049.09,7319.53,8270.23,2334.84
Active Decode Throughput Per User (tokens/sec/user),304.30,0.00,4941.74,,,,,,361.01,,453.81,478.71,588.04,147.49
Active Prefill Throughput (tokens/sec),1902.87,486.60,15098.66,,,,,,1548.81,,3240.21,3925.19,5607.85,1434.97
Active Prefill Throughput Per User (tokens/sec/user),1214.78,486.60,2903.12,,,,,,1135.75,,1724.12,1994.75,2587.18,434.13
Active Total Throughput (tokens/sec),5612.93,338.49,15098.66,,,,,,5477.53,,7004.05,7519.52,8679.23,1235.67
Credit-to-Start Latency (ms),0.79,0.55,1.27,253.86,0.58,0.62,0.63,0.69,0.78,0.88,0.96,1.02,1.15,0.13
Decode Duration (ms),833.25,374.82,1850.99,266639.16,404.82,516.55,561.59,639.34,780.00,983.94,1215.10,1344.51,1549.48,260.87
E2E Output Token Throughput (tokens/sec/user),312.71,135.00,604.84,100067.15,158.73,184.01,201.43,246.67,307.72,367.71,419.63,450.39,569.13,85.40
Effective Concurrency,15.74,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,1.61
Effective Decode Concurrency,14.82,0.00,16.00,,,,,,15.00,,16.00,16.00,16.00,1.98
Effective Decode Throughput (tokens/sec),4533.94,0.00,79067.85,,,,,,5232.03,,7047.81,7319.53,8270.23,2346.40
Effective Decode Throughput Per User (tokens/sec/user),303.21,0.00,4941.74,,,,,,359.53,,453.81,478.71,588.04,148.34
Effective Latency (CO-aware) (ms),886.18,424.21,1896.93,283577.83,451.50,569.30,610.77,696.91,832.75,1038.64,1271.75,1392.01,1613.70,260.59
Effective Prefill Concurrency,0.93,0.00,16.00,,,,,,1.00,,2.00,3.00,4.00,1.33
Effective Prefill Throughput (tokens/sec),1078.31,0.00,15098.66,,,,,,872.44,,2770.20,3307.51,5158.75,1433.88
Effective Prefill Throughput Per User (tokens/sec/user),688.38,0.00,2903.12,,,,,,739.73,,1573.25,1777.02,2562.62,684.95
Effective Total Throughput (tokens/sec),5612.25,0.00,15098.66,,,,,,5477.53,,7004.05,7519.52,8679.23,1237.15
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
