# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: 37b593494891
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,endpoint,method,engine_type,gt,le,model_name,moe_ep_rank,phase,pid,pp_rank,tp_rank,Description
127.0.0.1:8704,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of unique routing keys with active requests
127.0.0.1:8704,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_cuda_graph_time_seconds,seconds,1.5030,1.5030,1.5030,0.0000,1.5030,1.5030,1.5030,1.5030,1.5030,1.5030,1.5030,1.5030,1.5030,,,unified,,,qwen,,draft_decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_extend,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_cuda_graph_time_seconds,seconds,7.0102,7.0102,7.0102,0.0000,7.0102,7.0102,7.0102,7.0102,7.0102,7.0102,7.0102,7.0102,7.0102,,,unified,,,qwen,,prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_cuda_graph_time_seconds,seconds,7.4455,7.4455,7.4455,0.0000,7.4455,7.4455,7.4455,7.4455,7.4455,7.4455,7.4455,7.4455,7.4455,,,unified,,,qwen,,target_verify,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_time_seconds,seconds,0.4010,0.4010,0.4010,0.0000,0.4010,0.4010,0.4010,0.4010,0.4010,0.4010,0.4010,0.4010,0.4010,,,unified,,,qwen,,kv_cache_allocation,,,,Engine startup duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_time_seconds,seconds,3.0052,3.0052,3.0052,0.0000,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,,,unified,,,qwen,,load_weight,,,,Engine startup duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_time_seconds,seconds,22.5610,22.5610,22.5610,0.0000,22.5610,22.5610,22.5610,22.5610,22.5610,22.5610,22.5610,22.5610,22.5610,,,unified,,,qwen,,scheduler_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_time_seconds,seconds,30.8405,30.8405,30.8405,0.0000,30.8405,30.8405,30.8405,30.8405,30.8405,30.8405,30.8405,30.8405,30.8405,,,unified,,,qwen,,tokenizer_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:cache_hit_rate,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The prefix cache hit rate.
127.0.0.1:8704,gauge,sglang:context_len,,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,,,unified,,,qwen,0,,,0,0,Maximum context length.
127.0.0.1:8704,gauge,sglang:decode_sum_seq_lens,,6025.0405,2631.0000,6991.0000,873.8507,2631.0000,4340.7500,5354.0000,5837.0000,6134.0000,6593.2500,6770.0000,6806.0000,6991.0000,,,unified,,,qwen,0,,,0,0,The sum of all sequence lengths in decode.
127.0.0.1:8704,gauge,sglang:full_token_usage,,0.0064,0.0000,0.0084,0.0016,0.0000,0.0033,0.0054,0.0063,0.0068,0.0072,0.0075,0.0076,0.0080,,,unified,,,qwen,0,,,0,0,The token usage for full attention layers.
127.0.0.1:8704,gauge,sglang:gen_throughput,tokens/s,6849.5281,0.0000,8511.1352,1585.1780,0.0000,3885.4514,6280.8963,6804.8782,7289.5032,7418.3799,7670.4681,7823.3602,8511.1352,,,unified,,,qwen,0,,,0,0,The generation throughput (token/s).
127.0.0.1:8704,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Whether the batch is using CUDA graph.
127.0.0.1:8704,gauge,sglang:kv_available_tokens,tokens,980349.7432,978379.0000,986661.0000,1571.5618,978817.0000,979135.6500,979265.5000,979593.5000,979960.5000,980404.5000,981379.3000,983439.0000,986661.0000,,,unified,,,qwen,0,,,0,0,Number of free token slots in the KV cache pool.
127.0.0.1:8704,gauge,sglang:kv_cache_memory_usage_gb,,30.1105,30.1105,30.1105,0.0000,30.1105,30.1105,30.1105,30.1105,30.1105,30.1105,30.1105,30.1105,30.1105,,,unified,,,qwen,0,,,0,0,Memory used by the KV cache pools in GB.
127.0.0.1:8704,gauge,sglang:kv_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
127.0.0.1:8704,gauge,sglang:kv_used_tokens,tokens,6311.2568,0.0000,8282.0000,1571.5618,0.0000,3222.0000,5281.7000,6256.5000,6700.5000,7067.5000,7395.5000,7525.3500,7844.0000,,,unified,,,qwen,0,,,0,0,Number of actively used token slots in the KV cache pool.
