# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: 535c200da81b
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,endpoint,method,engine_type,gt,le,model_name,moe_ep_rank,phase,pid,pp_rank,tp_rank,Description
127.0.0.1:8704,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,Number of unique routing keys with active requests
127.0.0.1:8704,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_cuda_graph_time_seconds,seconds,1.5030,1.5030,1.5030,0.0000,1.5030,1.5030,1.5030,1.5030,1.5030,1.5030,1.5030,1.5030,1.5030,,,unified,,,qwen,,draft_decode,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_extend,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,,draft_prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_cuda_graph_time_seconds,seconds,7.0102,7.0102,7.0102,0.0000,7.0102,7.0102,7.0102,7.0102,7.0102,7.0102,7.0102,7.0102,7.0102,,,unified,,,qwen,,prefill,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_cuda_graph_time_seconds,seconds,7.4455,7.4455,7.4455,0.0000,7.4455,7.4455,7.4455,7.4455,7.4455,7.4455,7.4455,7.4455,7.4455,,,unified,,,qwen,,target_verify,,,,CUDA graph capture duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_time_seconds,seconds,0.4010,0.4010,0.4010,0.0000,0.4010,0.4010,0.4010,0.4010,0.4010,0.4010,0.4010,0.4010,0.4010,,,unified,,,qwen,,kv_cache_allocation,,,,Engine startup duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_time_seconds,seconds,3.0052,3.0052,3.0052,0.0000,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,3.0052,,,unified,,,qwen,,load_weight,,,,Engine startup duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_time_seconds,seconds,22.5610,22.5610,22.5610,0.0000,22.5610,22.5610,22.5610,22.5610,22.5610,22.5610,22.5610,22.5610,22.5610,,,unified,,,qwen,,scheduler_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:startup_time_seconds,seconds,30.8405,30.8405,30.8405,0.0000,30.8405,30.8405,30.8405,30.8405,30.8405,30.8405,30.8405,30.8405,30.8405,,,unified,,,qwen,,tokenizer_e2e,,,,Engine startup duration by phase in seconds.
127.0.0.1:8704,gauge,sglang:cache_hit_rate,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,The prefix cache hit rate.
127.0.0.1:8704,gauge,sglang:context_len,,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,,,unified,,,qwen,0,,,0,0,Maximum context length.
127.0.0.1:8704,gauge,sglang:decode_sum_seq_lens,,1507.8947,361.0000,2038.0000,437.4041,361.0000,603.2500,646.0000,1410.2500,1604.0000,1805.5000,1849.6000,1998.0500,2038.0000,,,unified,,,qwen,0,,,0,0,The sum of all sequence lengths in decode.
127.0.0.1:8704,gauge,sglang:full_token_usage,,0.0015,0.0000,0.0023,0.0006,0.0000,0.0000,0.0003,0.0015,0.0017,0.0019,0.0019,0.0021,0.0023,,,unified,,,qwen,0,,,0,0,The token usage for full attention layers.
127.0.0.1:8704,gauge,sglang:gen_throughput,tokens/s,3478.9524,0.0000,4471.2389,1079.0577,0.0000,0.0000,3292.8388,3476.7936,3691.2493,4010.0978,4157.2576,4324.6478,4471.2389,,,unified,,,qwen,0,,,0,0,The generation throughput (token/s).
127.0.0.1:8704,gauge,sglang:is_cuda_graph,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Whether the batch is using CUDA graph.
127.0.0.1:8704,gauge,sglang:kv_available_tokens,tokens,985147.5789,984359.0000,986661.0000,585.1403,984419.3100,984614.6500,984738.3000,984832.7500,984997.5000,985166.5000,986352.0000,986661.0000,986661.0000,,,unified,,,qwen,0,,,0,0,Number of free token slots in the KV cache pool.
127.0.0.1:8704,gauge,sglang:kv_cache_memory_usage_gb,,30.1105,30.1105,30.1105,0.0000,30.1105,30.1105,30.1105,30.1105,30.1105,30.1105,30.1105,30.1105,30.1105,,,unified,,,qwen,0,,,0,0,Memory used by the KV cache pools in GB.
127.0.0.1:8704,gauge,sglang:kv_evictable_tokens,tokens,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,unified,,,qwen,0,,,0,0,Number of evictable (radix-cached) token slots in the KV cache pool.
127.0.0.1:8704,gauge,sglang:kv_used_tokens,tokens,1513.4211,0.0000,2302.0000,585.1403,0.0000,0.0000,309.0000,1494.5000,1663.5000,1828.2500,1922.7000,2046.3500,2241.6900,,,unified,,,qwen,0,,,0,0,Number of actively used token slots in the KV cache pool.
