Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),820.02,0.00,3948.40,,,,,,821.70,,1031.87,1069.34,1263.72,198.71
Active Decode Throughput Per User (tokens/sec/user),820.02,0.00,3948.40,,,,,,821.70,,1031.87,1069.34,1263.72,198.71
Active Prefill Throughput (tokens/sec),1406.00,574.83,2677.59,,,,,,1373.63,,2652.99,2677.59,2677.59,684.01
Active Prefill Throughput Per User (tokens/sec/user),1406.00,574.83,2677.59,,,,,,1373.63,,2652.99,2677.59,2677.59,684.01
Active Total Throughput (tokens/sec),894.87,511.18,2677.59,,,,,,847.21,,1062.54,1402.88,2677.59,355.01
Credit-to-Start Latency (ms),0.84,0.70,1.30,8.43,0.71,0.72,0.74,0.76,0.80,0.83,0.95,1.12,1.27,0.16
Decode Duration (ms),310.85,239.99,498.84,3108.46,240.36,241.83,243.67,258.18,292.01,323.93,391.99,445.42,488.16,75.02
E2E Output Token Throughput (tokens/sec/user),743.87,475.13,910.51,7438.66,485.89,528.91,582.69,703.28,754.42,836.93,899.76,905.14,909.44,127.83
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.07
Effective Decode Concurrency,0.87,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.34
Effective Decode Throughput (tokens/sec),712.00,0.00,3948.40,,,,,,788.19,,1024.29,1055.65,1252.04,333.46
Effective Decode Throughput Per User (tokens/sec/user),712.00,0.00,3948.40,,,,,,788.19,,1024.29,1055.65,1252.04,333.46
Effective Latency (CO-aware) (ms),357.21,281.93,539.61,3572.09,282.28,283.67,285.42,307.03,340.37,364.84,440.59,490.10,529.71,73.56
Effective Prefill Concurrency,0.13,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.33
Effective Prefill Throughput (tokens/sec),178.77,0.00,2677.59,,,,,,0.00,,845.10,1402.88,2677.59,528.09
Effective Prefill Throughput Per User (tokens/sec/user),178.77,0.00,2677.59,,,,,,0.00,,845.10,1402.88,2677.59,528.09
Effective Total Throughput (tokens/sec),890.76,0.00,2677.59,,,,,,847.21,,1062.54,1402.88,2677.59,359.32
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,52.60,41.00,83.00,526.00,41.09,41.45,41.90,44.00,49.50,54.75,65.90,74.45,81.29,12.17
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.15,0.00,1.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.82,1.36,0.45
HTTP Connection Overhead (ms),0.15,0.00,1.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.82,1.36,0.45
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),13.27,10.62,20.30,132.67,10.64,10.71,10.79,11.29,12.52,13.78,16.34,18.32,19.91,2.81
HTTP Data Sent (KB),0.37,0.24,0.59,3.75,0.24,0.24,0.25,0.31,0.34,0.41,0.54,0.57,0.59,0.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),356.29,281.10,538.74,3562.90,281.44,282.78,284.46,306.20,339.22,363.95,439.76,489.25,528.84,73.58
HTTP Receiving (ms),310.85,240.00,498.85,3108.55,240.37,241.83,243.67,258.19,292.01,323.93,392.00,445.43,488.16,75.02
HTTP Sending (ms),0.31,0.13,1.88,3.11,0.13,0.13,0.13,0.13,0.14,0.14,0.34,1.11,1.73,0.52
HTTP Total Time (ms),356.44,281.10,538.74,3564.40,281.44,282.78,284.46,306.20,339.97,363.95,439.76,489.25,528.84,73.54
HTTP Waiting (TTFB) (ms),45.12,39.24,75.98,451.24,39.28,39.47,39.71,40.59,41.38,41.97,51.21,63.60,73.51,10.57
Input Sequence Length (tokens),64.00,28.00,113.00,640.00,28.81,32.05,36.10,45.50,60.50,69.75,106.70,109.85,112.37,26.12
Inter Chunk Latency (ms),6.02,2.27,12.62,3108.46,4.48,5.08,5.74,6.01,6.08,6.14,6.24,6.30,7.07,0.56
Inter Token Latency (ms),1.22,0.94,1.96,12.20,0.94,0.95,0.96,1.01,1.15,1.27,1.54,1.75,1.91,0.29
Output Sequence Length (tokens),255.90,255.00,256.00,2559.00,255.09,255.45,255.90,256.00,256.00,256.00,256.00,256.00,256.00,0.30
Output Token Throughput Per User (tokens/sec/user),859.11,511.18,1062.54,8591.05,525.32,581.84,652.50,787.28,874.09,987.70,1046.54,1054.54,1060.94,166.50
Prefill Throughput Per User (tokens/sec/user),1474.79,574.83,2677.60,14747.85,599.15,696.45,818.07,916.06,1388.25,1730.06,2655.44,2666.52,2675.38,687.28
Reasoning Token Count (tokens),255.90,255.00,256.00,2559.00,255.09,255.45,255.90,256.00,256.00,256.00,256.00,256.00,256.00,0.30
Request Latency (ms),356.37,281.16,538.80,3563.66,281.50,282.84,284.52,306.26,339.35,364.01,439.83,489.31,528.90,73.58
Time to First Token (ms),45.52,39.43,78.10,455.19,39.48,39.67,39.90,40.78,41.57,42.17,51.65,64.87,75.45,11.13
Time to Second Token (ms),4.47,2.27,5.15,44.71,2.41,2.98,3.70,4.50,4.79,4.89,5.02,5.09,5.14,0.81
Tokens In Flight (tokens),176.41,0.00,369.00,,,,,,174.95,,292.35,312.24,352.67,85.85

Metric,Value
Benchmark Duration (sec),3.58
Input Token Throughput (tokens/sec),178.77
Output Token Throughput (tokens/sec),714.79
Request Count,10.00
Request Throughput (requests/sec),2.79
Total Input Sequence Length (tokens),640.00
Total Output Sequence Length (tokens),2559.00
Total Reasoning Tokens (tokens),2559.00
Total Token Throughput (tokens/sec),893.56
