Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),924.56,0.00,4844.29,,,,,,905.92,,1270.37,1387.86,1691.03,257.55
Active Decode Throughput Per User (tokens/sec/user),924.56,0.00,4844.29,,,,,,905.92,,1270.37,1387.86,1691.03,257.55
Active Prefill Throughput (tokens/sec),1468.84,602.87,2726.85,,,,,,1338.21,,2201.84,2315.34,2726.85,483.18
Active Prefill Throughput Per User (tokens/sec/user),1468.84,602.87,2726.85,,,,,,1338.21,,2201.84,2315.34,2726.85,483.18
Active Total Throughput (tokens/sec),994.39,520.87,2726.85,,,,,,943.03,,1379.58,1610.54,2224.97,337.59
Credit-to-Start Latency (ms),0.78,0.63,1.17,77.74,0.63,0.65,0.69,0.71,0.77,0.83,0.87,0.91,1.03,0.09
Decode Duration (ms),275.81,142.68,489.57,27580.69,166.29,173.39,191.80,227.77,264.26,313.41,380.06,434.90,465.25,73.39
E2E Output Token Throughput (tokens/sec/user),850.74,482.48,1408.45,85073.59,508.09,539.07,606.30,718.51,841.16,958.09,1101.17,1173.75,1245.25,186.17
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.07
Effective Decode Concurrency,0.87,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.34
Effective Decode Throughput (tokens/sec),802.13,0.00,4844.29,,,,,,855.15,,1224.84,1356.63,1659.80,394.66
Effective Decode Throughput Per User (tokens/sec/user),802.13,0.00,4844.29,,,,,,855.15,,1224.84,1356.63,1659.80,394.66
Effective Latency (CO-aware) (ms),317.18,182.51,531.77,31718.11,206.26,218.89,233.23,268.04,305.05,358.12,423.03,475.53,504.54,73.59
Effective Prefill Concurrency,0.13,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.33
Effective Prefill Throughput (tokens/sec),187.57,0.00,2726.85,,,,,,0.00,,1046.86,1575.08,2224.97,519.75
Effective Prefill Throughput Per User (tokens/sec/user),187.57,0.00,2726.85,,,,,,0.00,,1046.86,1575.08,2224.97,519.75
Effective Total Throughput (tokens/sec),989.70,0.00,2726.85,,,,,,943.00,,1379.58,1610.54,2224.97,343.63
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,46.87,25.00,82.00,4687.00,28.96,30.00,33.00,39.00,45.00,53.00,64.10,73.05,78.04,12.09
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),11.92,6.97,20.07,1191.59,7.76,8.07,8.67,10.04,11.50,13.36,15.95,17.90,19.20,2.81
HTTP Data Sent (KB),0.33,0.18,0.63,32.64,0.20,0.22,0.23,0.25,0.31,0.39,0.46,0.49,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),316.34,181.71,530.50,31633.90,205.55,218.05,232.43,267.12,304.28,357.26,422.20,474.75,503.80,73.58
HTTP Receiving (ms),275.81,142.69,489.58,27581.37,166.30,173.40,191.81,227.78,264.27,313.41,380.07,434.91,465.26,73.39
HTTP Sending (ms),0.14,0.11,0.22,14.20,0.11,0.12,0.12,0.12,0.13,0.16,0.18,0.19,0.22,0.03
