Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),785.86,0.00,2181.93,,,,,,796.08,,986.73,1017.94,1274.33,186.30
Active Decode Throughput Per User (tokens/sec/user),785.86,0.00,2181.93,,,,,,796.08,,986.73,1017.94,1274.33,186.30
Active Prefill Throughput (tokens/sec),1468.01,651.33,2730.76,,,,,,1434.57,,2601.33,2730.76,2730.76,672.40
Active Prefill Throughput Per User (tokens/sec/user),1468.01,651.33,2730.76,,,,,,1434.57,,2601.33,2730.76,2730.76,672.40
Active Total Throughput (tokens/sec),866.68,492.83,2730.76,,,,,,810.83,,1017.17,1436.68,2730.76,357.10
Credit-to-Start Latency (ms),0.78,0.57,1.19,7.81,0.58,0.61,0.64,0.68,0.73,0.81,1.01,1.10,1.17,0.17
Decode Duration (ms),324.36,250.69,517.42,3243.58,251.25,253.48,256.26,270.13,304.80,337.84,408.81,463.12,506.56,77.22
E2E Output Token Throughput (tokens/sec/user),720.02,460.23,879.60,7200.17,471.00,514.08,567.93,680.17,733.30,809.87,867.23,873.42,878.36,122.56
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Concurrency,0.88,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.33
Effective Decode Throughput (tokens/sec),689.84,0.00,2181.93,,,,,,760.29,,981.75,1009.98,1261.70,310.97
Effective Decode Throughput Per User (tokens/sec/user),689.84,0.00,2181.93,,,,,,760.29,,981.75,1009.98,1261.70,310.97
Effective Latency (CO-aware) (ms),368.74,291.69,556.91,3687.36,292.12,293.85,296.01,317.31,350.11,377.08,452.34,504.63,546.46,75.44
Effective Prefill Concurrency,0.12,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.32
Effective Prefill Throughput (tokens/sec),173.20,0.00,2730.76,,,,,,0.00,,883.92,1436.68,2730.76,526.89
Effective Prefill Throughput Per User (tokens/sec/user),173.20,0.00,2730.76,,,,,,0.00,,883.92,1436.68,2730.76,526.89
Effective Total Throughput (tokens/sec),863.05,0.00,2730.76,,,,,,810.83,,1017.17,1436.68,2730.76,360.73
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,52.60,41.00,83.00,526.00,41.09,41.45,41.90,44.00,49.50,54.75,65.90,74.45,81.29,12.17
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.14,0.00,1.44,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.79,1.31,0.43
