Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),884.61,0.00,4410.56,,,,,,862.09,,1218.01,1342.62,1582.87,247.24
Active Decode Throughput Per User (tokens/sec/user),884.61,0.00,4410.56,,,,,,862.09,,1218.01,1342.62,1582.87,247.24
Active Prefill Throughput (tokens/sec),1522.49,606.73,3072.86,,,,,,1402.37,,2367.89,2513.19,2561.28,519.25
Active Prefill Throughput Per User (tokens/sec/user),1522.49,606.73,3072.86,,,,,,1402.37,,2367.89,2513.19,2561.28,519.25
Active Total Throughput (tokens/sec),960.91,498.57,3072.86,,,,,,901.79,,1320.75,1606.68,2448.50,349.69
Credit-to-Start Latency (ms),0.75,0.56,0.93,75.17,0.56,0.59,0.64,0.69,0.75,0.82,0.88,0.90,0.93,0.09
Decode Duration (ms),288.26,149.57,511.46,28826.24,174.08,180.93,200.00,238.15,276.09,326.99,397.31,453.71,486.32,76.75
E2E Output Token Throughput (tokens/sec/user),822.83,466.12,1351.63,82282.91,489.13,519.13,572.09,700.10,815.58,925.98,1074.55,1156.62,1203.28,181.45
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.07
Effective Decode Concurrency,0.88,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.33
Effective Decode Throughput (tokens/sec),775.19,0.00,4410.56,,,,,,819.04,,1182.14,1303.11,1552.62,372.01
Effective Decode Throughput Per User (tokens/sec/user),775.19,0.00,4410.56,,,,,,819.04,,1182.14,1303.11,1552.62,372.01
Effective Latency (CO-aware) (ms),328.18,190.02,549.99,32818.03,213.40,222.15,239.09,277.36,314.74,366.00,448.10,493.89,524.05,76.88
Effective Prefill Concurrency,0.12,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.32
Effective Prefill Throughput (tokens/sec),181.27,0.00,3072.86,,,,,,0.00,,1062.98,1528.57,2384.32,524.62
Effective Prefill Throughput Per User (tokens/sec/user),181.27,0.00,3072.86,,,,,,0.00,,1062.98,1528.57,2384.32,524.62
Effective Total Throughput (tokens/sec),956.46,0.00,3072.86,,,,,,901.79,,1320.75,1606.68,2384.32,354.93
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,46.87,25.00,82.00,4687.00,28.96,30.00,33.00,39.00,45.00,53.00,64.10,73.05,78.04,12.09
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),11.92,6.97,20.07,1191.59,7.76,8.07,8.67,10.04,11.50,13.36,15.95,17.90,19.20,2.81
HTTP Data Sent (KB),0.33,0.18,0.63,32.64,0.20,0.22,0.23,0.25,0.31,0.39,0.46,0.49,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),327.37,189.35,549.15,32737.00,212.73,221.27,238.18,276.40,313.83,365.03,447.43,492.98,523.33,76.87
HTTP Receiving (ms),288.27,149.57,511.47,28826.87,174.09,180.94,200.00,238.16,276.09,326.99,397.32,453.72,486.33,76.75
HTTP Sending (ms),0.13,0.09,0.19,12.97,0.09,0.10,0.10,0.12,0.13,0.14,0.15,0.16,0.18,0.02
HTTP Total Time (ms),327.37,189.35,549.15,32737.00,212.73,221.27,238.18,276.40,313.83,365.03,447.43,492.98,523.33,76.87
HTTP Waiting (TTFB) (ms),38.97,36.12,58.72,3897.16,36.38,36.68,36.87,37.30,38.08,39.35,41.14,42.39,50.87,3.18
Input Sequence Length (tokens),59.63,24.00,127.00,5963.00,28.95,31.95,36.90,44.00,54.50,70.00,88.50,95.05,123.04,21.34
Inter Chunk Latency (ms),6.28,1.62,10.98,28826.24,4.42,5.25,6.13,6.28,6.35,6.41,6.50,6.57,7.80,0.50
Inter Token Latency (ms),1.13,0.59,2.01,113.05,0.68,0.71,0.78,0.93,1.08,1.28,1.56,1.78,1.91,0.30
Output Sequence Length (tokens),256.00,255.00,257.00,25600.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,257.00,0.20
Output Token Throughput Per User (tokens/sec/user),945.19,498.57,1704.86,94518.73,524.35,562.03,641.83,779.08,923.63,1070.74,1275.03,1409.39,1465.17,239.74
Prefill Throughput Per User (tokens/sec/user),1520.48,606.73,3072.87,152047.97,739.82,815.90,926.22,1145.04,1409.82,1823.52,2330.34,2472.52,2566.40,516.89
Reasoning Token Count (tokens),256.00,255.00,257.00,25600.00,255.00,256.00,256.00,256.00,256.00,256.00,256.00,256.00,257.00,0.20
Request Latency (ms),327.43,189.40,549.22,32742.86,212.78,221.33,238.24,276.46,313.89,365.10,447.48,493.04,523.39,76.87
Time to First Token (ms),39.17,36.28,59.00,3916.62,36.55,36.90,37.04,37.49,38.28,39.57,41.35,42.63,51.12,3.19
Time to Second Token (ms),4.58,1.62,7.94,457.58,1.99,4.15,4.33,4.44,4.57,4.73,4.93,5.07,5.52,0.58
Tokens In Flight (tokens),172.43,0.00,383.00,,,,,,171.17,,286.12,304.22,335.19,83.70

Metric,Value
Benchmark Duration (sec),32.89
Input Token Throughput (tokens/sec),181.27
Output Token Throughput (tokens/sec),778.23
Request Count,100.00
Request Throughput (requests/sec),3.04
Total Input Sequence Length (tokens),5963.00
Total Output Sequence Length (tokens),25600.00
Total Reasoning Tokens (tokens),25600.00
Total Token Throughput (tokens/sec),959.50


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
