Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),786.74,0.00,2380.40,,,,,,797.51,,987.61,1008.53,1227.61,183.02
Active Decode Throughput Per User (tokens/sec/user),786.74,0.00,2380.40,,,,,,797.51,,987.61,1008.53,1227.61,183.02
Active Prefill Throughput (tokens/sec),1474.95,610.48,2800.01,,,,,,1364.21,,2713.42,2800.01,2800.01,701.43
Active Prefill Throughput Per User (tokens/sec/user),1474.95,610.48,2800.01,,,,,,1364.21,,2713.42,2800.01,2800.01,701.43
Active Total Throughput (tokens/sec),868.02,493.52,2800.01,,,,,,811.58,,1019.18,1424.48,2800.01,364.59
Credit-to-Start Latency (ms),0.91,0.59,1.70,9.11,0.59,0.60,0.61,0.79,0.89,0.94,1.02,1.36,1.63,0.29
Decode Duration (ms),323.99,250.20,516.69,3239.95,250.78,253.09,255.98,269.36,304.67,337.68,408.29,462.49,505.85,77.16
E2E Output Token Throughput (tokens/sec/user),721.57,461.64,884.68,7215.72,472.00,513.45,565.26,680.31,734.77,811.70,872.16,878.42,883.43,124.24
Effective Concurrency,0.99,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.07
Effective Decode Concurrency,0.88,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.33
Effective Decode Throughput (tokens/sec),690.29,0.00,2380.40,,,,,,759.53,,984.30,1007.07,1214.17,309.79
Effective Decode Throughput Per User (tokens/sec/user),690.29,0.00,2380.40,,,,,,759.53,,984.30,1007.07,1214.17,309.79
Effective Latency (CO-aware) (ms),368.30,290.14,555.14,3682.98,290.56,292.27,294.40,316.73,349.82,377.00,454.27,504.70,545.05,75.67
Effective Prefill Concurrency,0.12,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.32
Effective Prefill Throughput (tokens/sec),173.32,0.00,2800.01,,,,,,0.00,,912.96,1424.48,2800.01,532.36
Effective Prefill Throughput Per User (tokens/sec/user),173.32,0.00,2800.01,,,,,,0.00,,912.96,1424.48,2800.01,532.36
Effective Total Throughput (tokens/sec),863.60,0.00,2800.01,,,,,,811.58,,1019.18,1424.48,2800.01,368.87
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,52.60,41.00,83.00,526.00,41.09,41.45,41.90,44.00,49.50,54.75,65.90,74.45,81.29,12.17
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.17,0.00,1.74,1.74,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.96,1.59,0.52
HTTP Connection Overhead (ms),0.17,0.00,1.74,1.74,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.96,1.59,0.52
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),13.27,10.62,20.30,132.67,10.64,10.71,10.79,11.29,12.52,13.78,16.34,18.32,19.91,2.81
HTTP Data Sent (KB),0.37,0.24,0.59,3.75,0.24,0.24,0.25,0.31,0.34,0.41,0.54,0.57,0.59,0.11
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),367.31,289.32,554.51,3673.06,289.73,291.39,293.46,315.77,348.37,376.26,453.28,503.90,544.39,75.77
HTTP Receiving (ms),324.00,250.21,516.70,3240.03,250.78,253.09,255.98,269.37,304.67,337.69,408.30,462.50,505.86,77.16
HTTP Sending (ms),0.35,0.09,2.23,3.54,0.09,0.09,0.10,0.13,0.15,0.17,0.44,1.33,2.05,0.63
HTTP Total Time (ms),367.48,289.32,554.51,3674.80,289.73,291.39,293.46,315.77,349.24,376.26,453.28,503.90,544.39,75.71
HTTP Waiting (TTFB) (ms),42.95,37.14,69.76,429.48,37.18,37.33,37.52,38.03,40.08,41.38,47.97,58.87,67.58,9.25
Input Sequence Length (tokens),64.00,28.00,113.00,640.00,28.81,32.05,36.10,45.50,60.50,69.75,106.70,109.85,112.37,26.12
Inter Chunk Latency (ms),6.28,3.87,9.58,3239.95,4.34,5.29,6.19,6.30,6.34,6.39,6.46,6.51,7.49,0.48
