Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),886.53,0.00,3370.45,,,,,,867.61,,1214.10,1327.03,1628.81,245.25
Active Decode Throughput Per User (tokens/sec/user),886.53,0.00,3370.45,,,,,,867.61,,1214.10,1327.03,1628.81,245.25
Active Prefill Throughput (tokens/sec),1588.11,645.75,3130.18,,,,,,1471.13,,2386.40,2525.33,2607.50,528.92
Active Prefill Throughput Per User (tokens/sec/user),1588.11,645.75,3130.18,,,,,,1471.13,,2386.40,2525.33,2607.50,528.92
Active Total Throughput (tokens/sec),967.54,499.31,3130.18,,,,,,903.73,,1386.78,1688.95,2453.13,360.91
Credit-to-Start Latency (ms),0.60,0.42,0.90,60.33,0.43,0.45,0.46,0.51,0.58,0.67,0.77,0.82,0.86,0.11
Decode Duration (ms),287.64,149.10,510.70,28763.71,173.38,180.73,199.62,237.18,275.60,326.77,397.13,453.85,485.27,76.74
E2E Output Token Throughput (tokens/sec/user),829.22,466.83,1376.89,82922.13,490.11,521.26,587.92,702.84,817.93,932.75,1080.78,1173.66,1214.98,184.66
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.06
Effective Decode Concurrency,0.88,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.32
Effective Decode Throughput (tokens/sec),781.21,0.00,3370.45,,,,,,822.13,,1176.14,1299.55,1576.49,367.81
Effective Decode Throughput Per User (tokens/sec/user),781.21,0.00,3370.45,,,,,,822.13,,1176.14,1299.55,1576.49,367.81
Effective Latency (CO-aware) (ms),325.79,186.54,548.96,32578.82,211.42,218.59,237.42,275.05,313.64,364.49,435.90,491.75,523.01,76.93
Effective Prefill Concurrency,0.12,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.32
Effective Prefill Throughput (tokens/sec),182.68,0.00,3130.18,,,,,,0.00,,1018.09,1583.79,2417.82,537.52
Effective Prefill Throughput Per User (tokens/sec/user),182.68,0.00,3130.18,,,,,,0.00,,1018.09,1583.79,2417.82,537.52
Effective Total Throughput (tokens/sec),963.89,0.00,3130.18,,,,,,903.73,,1386.78,1684.43,2417.82,365.09
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,46.87,25.00,82.00,4687.00,28.96,30.00,33.00,39.00,45.00,53.00,64.10,73.05,78.04,12.09
HTTP Chunks Sent,1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,100.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),11.92,6.97,20.07,1191.59,7.76,8.07,8.67,10.04,11.50,13.36,15.95,17.90,19.20,2.81
HTTP Data Sent (KB),0.33,0.18,0.63,32.64,0.20,0.22,0.23,0.25,0.31,0.39,0.46,0.49,0.56,0.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
