-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(5)         0.00%       0.000us         0.00%       0.000us       0.000us      76.539ms        56.45%      76.539ms      25.513ms             3  
                 execute_context_1(183)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      42.535ms        31.37%      42.535ms      42.535ms             1  
                      nvjet_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      34.062ms        25.12%      34.062ms     177.407us           192  
                      nvjet_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      33.918ms        25.02%      33.918ms      24.366us          1392  
                                               aten::mm         3.26%       5.365ms         4.76%       7.838ms      20.200us      31.478ms        23.22%      31.478ms      81.130us           388  
## Call CompiledFxGraph f6s46aaaao6ifdl3lxfocozkxkif...         0.00%       0.000us         0.00%       0.000us       0.000us      27.899ms        20.58%      27.899ms     442.843us            63  
              nvjet_tst_144x192_64x5_2x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us      12.177ms         8.98%      12.177ms     190.271us            64  
                                       _vllm_fa3_C::fwd         3.88%       6.379ms        10.18%      16.739ms      32.693us       8.412ms         6.20%       8.475ms      16.553us           512  
                     nvjet_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       7.135ms         5.26%       7.135ms      37.162us           192  
## Call CompiledFxGraph fvsepycjvrodj7q7vdf7tepav4ru...         0.00%       0.000us         0.00%       0.000us       0.000us       6.746ms         4.98%       6.746ms     249.849us            27  
       nvjet_tst_128x184_64x5_4x1_v_bz_coopA_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       6.376ms         4.70%       6.376ms      99.628us            64  
                      nvjet_tst_384x8_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       5.308ms         3.91%       5.308ms     265.387us            20  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us       4.693ms         3.46%       4.693ms      11.174us           420  
               nvjet_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.637ms         2.68%       3.637ms      10.824us           336  
                     nvjet_tst_256x64_64x5_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.083ms         2.27%       3.083ms      48.180us            64  
                     nvjet_tst_128x64_64x8_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.517ms         1.86%       2.517ms      39.328us            64  
