-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      22.001ms       100.81%      22.001ms       2.445ms             9  
                 execute_context_1(183)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      18.284ms        83.78%      18.284ms      18.284ms             1  
                      nvjet_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       8.378ms        38.39%       8.378ms      11.083us           756  
## Call CompiledFxGraph fx7kpckhr2rx4pl7atgfizzhd6yi...         0.00%       0.000us         0.00%       0.000us       0.000us       6.354ms        29.11%       6.354ms     235.323us            27  
                                               aten::mm         4.12%       1.764ms         5.58%       2.390ms      19.589us       3.643ms        16.69%       3.643ms      29.862us           122  
               nvjet_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.730ms        12.51%       2.730ms      10.835us           252  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us       2.370ms        10.86%       2.370ms       9.406us           252  
                      nvjet_tst_384x8_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.024ms         9.27%       2.024ms     202.353us            10  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us     649.273us         2.97%     649.273us       2.319us           280  
                     nvjet_tst_96x192_64x5_2x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     615.039us         2.82%     615.039us      21.966us            28  
void cutlass::device_kernel<flash::FlashAttnFwdCombi...         0.00%       0.000us         0.00%       0.000us       0.000us     591.388us         2.71%     591.388us       2.347us           252  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2         0.00%       0.000us         0.00%       0.000us       0.000us     569.880us         2.61%     569.880us       2.035us           280  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us     520.258us         2.38%     520.258us       1.858us           280  
                     nvjet_tst_64x48_64x15_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     474.334us         2.17%     474.334us      16.941us            28  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     435.491us         2.00%     435.491us       1.613us           270  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     405.274us         1.86%     405.274us       1.608us           252  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us     368.501us         1.69%     368.501us       1.316us           280  
