-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     215.030ms        90.35%     215.030ms      23.892ms             9  
                      nvjet_tst_256x8_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     101.954ms        42.84%     101.954ms     177.003us           576  
                      nvjet_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      67.970ms        28.56%      67.970ms      59.002us          1152  
                 execute_context_1(183)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      41.200ms        17.31%      41.200ms      41.200ms             1  
                                               aten::mm         1.34%       3.605ms         2.03%       5.461ms      20.528us      29.741ms        12.50%      29.741ms     111.809us           266  
## Call CompiledFxGraph fmxg5lcszfqx3zfcdhvknaidg7wi...         0.00%       0.000us         0.00%       0.000us       0.000us      27.755ms        11.66%      27.755ms     440.559us            63  
                     nvjet_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      21.242ms         8.92%      21.242ms      36.878us           576  
              nvjet_tst_144x192_64x5_2x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us      12.381ms         5.20%      12.381ms     193.454us            64  
       nvjet_tst_128x184_64x5_4x1_v_bz_coopA_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       6.348ms         2.67%       6.348ms      99.185us            64  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us       5.384ms         2.26%       5.384ms       9.347us           576  
                      nvjet_tst_384x8_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       5.092ms         2.14%       5.092ms     509.238us            10  
                     nvjet_tst_256x64_64x5_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.056ms         1.28%       3.056ms      47.754us            64  
                     nvjet_tst_128x64_64x8_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.449ms         1.03%       2.449ms      38.271us            64  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2         0.00%       0.000us         0.00%       0.000us       0.000us       2.205ms         0.93%       2.205ms       3.445us           640  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.00%       0.000us         0.00%       0.000us       0.000us       2.079ms         0.87%       2.079ms       3.248us           640  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.420ms         0.60%       1.420ms       2.218us           640  
